Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Shareef Abdur-Rahim,PF,31,SAC,NBA,2008,6,0,51,3,14,3,14,0,0,4,4,6,4,10,4,1,0,1,9,10,0.214,21.4,15.7,0.157,0.214,,0.214,1,0.317,100,0,60,20,0,0,40,20,40,33.3,0.333,66.7,0,0,0,0,33.3,66.7,0.5,2.3,21.4,0,0,0,0.5,0,0.7,100,1,1,0.7,1.7,1.7,0.7,0.2,0.2,0,25.2,0.252,107.5,1.075,10.1,27.7,80,16.1,102.5,8408
Arron Afflalo,SG,22,DET,NBA,2008,75,9,970,99,241,89,193,10,48,68,87,36,101,137,52,31,8,34,83,276,0.411,41.1,14.9,0.149,0.461,0.208,0.432,0.782,0.494,80.1,19.9,64.5,26.8,10.9,28.3,24.6,25,37.7,65.2,0.652,34.8,80,0.8,20,0.2,66.7,33.3,1.3,3.2,41.1,0.1,0.6,20.8,1.2,20.8,1.2,78.2,0.782,0.5,1.3,3.7,1.8,0.7,0.5,0.4,0.1,29.4,0.294,111.4,1.114,11.9,24,79.9,11.7,97.5,7992
Maurice Ager,SF,23,TOT,NBA,2008,26,3,165,21,65,18,46,3,19,6,12,4,9,13,8,0,1,6,17,51,0.323,32.3,21.6,0.216,0.391,0.158,0.346,0.5,0.363,70.8,29.2,70.6,27.5,17.6,17.6,11.8,15.7,43.1,72.2,0.722,27.8,100,1,0,0,76.2,23.8,0.8,2.5,32.3,0.1,0.7,15.8,0.7,15.8,0.5,50,0.5,0.2,0.3,2,0.5,0.3,0.2,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blake Ahearn,PG,23,MIA,NBA,2008,12,0,177,15,57,5,23,10,34,30,31,1,18,19,19,6,0,16,20,70,0.263,26.3,25.4,0.254,0.217,0.294,0.351,0.968,0.495,40.4,59.6,14.3,0,42.9,8.6,42.9,11.4,14.3,20,0.2,80,100,1,0,0,73.3,26.7,1.3,4.8,26.3,0.8,2.8,29.4,0.4,29.4,2.6,96.8,0.968,0.1,1.5,5.8,1.6,1.6,1.3,0.5,0,22.1,0.221,100.5,1.005,9.1,23.2,77.3,14.7,91.4,7491
LaMarcus Aldridge,PF,22,POR,NBA,2008,76,76,2649,561,1160,560,1153,1,7,227,298,220,358,578,122,55,94,126,240,1350,0.484,48.4,25.4,0.254,0.486,0.143,0.484,0.762,0.523,99.4,0.6,83,38.2,0.2,8.1,16.8,13.7,44.7,64.5,0.645,35.5,100,1,0,0,64.5,35.5,7.4,15.3,48.4,0,0.1,14.3,7.4,14.3,3.9,76.2,0.762,2.9,4.7,17.8,7.6,1.6,1.7,0.7,1.2,26.8,0.268,107.3,1.073,11,22.5,79.8,12.9,95.4,7820
Malik Allen,PF,29,TOT,NBA,2008,73,16,1096,157,327,156,325,1,2,23,25,66,130,196,44,19,31,45,149,338,0.48,48,16.6,0.166,0.48,0.5,0.482,0.92,0.5,99.4,0.6,92.3,70.4,0.9,3.6,6.8,9.8,21.9,75,0.75,25,100,1,0,0,75.2,24.8,2.2,4.5,48,0,0,50,2.1,50,0.3,92,0.92,0.9,1.8,4.6,2.7,0.6,0.6,0.3,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ray Allen,SG,32,BOS,NBA,2008,73,73,2624,439,986,259,534,180,452,215,237,75,193,268,225,65,16,127,147,1273,0.445,44.5,21.6,0.216,0.485,0.398,0.537,0.907,0.584,54.2,45.8,40.7,16.7,42.4,16.1,16.9,18.1,24,53.7,0.537,46.3,80.6,0.806,19.4,0.194,64.7,35.3,6,13.5,44.5,2.5,6.2,39.8,3.5,39.8,3.2,90.7,0.907,1,2.6,17.4,3.7,3.1,1.7,0.9,0.2,26.6,0.266,110.2,1.102,10.1,26.5,76.7,15.2,100.5,8245
Tony Allen,SG,26,BOS,NBA,2008,75,11,1373,169,389,151,332,18,57,138,181,34,134,168,114,62,21,109,168,494,0.434,43.4,19.6,0.196,0.455,0.316,0.458,0.762,0.527,85.3,14.7,61.1,11.3,10.9,18,27.9,22.9,49.8,49,0.49,51,100,1,0,0,54.4,45.6,2.3,5.2,43.4,0.2,0.8,31.6,2,31.6,2.4,76.2,0.762,0.5,1.8,6.6,2.2,1.5,1.5,0.8,0.3,26.6,0.266,110.2,1.102,10.1,26.5,76.7,15.2,100.5,8245
Lance Allred,C,26,CLE,NBA,2008,3,0,10,1,4,1,4,0,0,1,2,0,1,1,0,0,0,0,1,3,0.25,25,23.6,0.236,0.25,,0.25,0.5,0.307,100,0,66.7,66.7,0,0,33.3,0,0,100,1,0,0,0,0,0,100,0,0.3,1.3,25,0,0,0,0.3,0,0.7,50,0.5,0,0.3,1,0.3,0,0,0,0,30.4,0.304,106,1.06,13.3,25.1,81.7,14,96.4,7903
Morris Almond,SG,22,UTA,NBA,2008,9,0,39,4,15,3,11,1,4,4,6,0,2,2,3,1,0,2,5,13,0.267,26.7,22,0.22,0.273,0.25,0.3,0.667,0.368,73.3,26.7,46.2,15.4,23.1,7.7,30.8,0,30.8,66.7,0.667,33.3,100,1,0,0,75,25,0.4,1.7,26.7,0.1,0.4,25,0.3,25,0.7,66.7,0.667,0,0.2,1.4,0.2,0.3,0.2,0.1,0,29.5,0.295,113.8,1.138,11.5,28,80.4,14.6,106.2,8710
Rafer Alston,PG,31,HOU,NBA,2008,74,74,2526,364,924,221,517,143,407,98,137,28,232,260,392,98,18,160,139,969,0.394,39.4,20.5,0.205,0.427,0.351,0.471,0.715,0.492,56,44,45.6,14.2,44.3,12.6,10.1,17.8,31.4,21.7,0.217,78.3,84.6,0.846,15.4,0.154,46.4,53.6,4.9,12.5,39.4,1.9,5.5,35.1,3,35.1,1.9,71.5,0.715,0.4,3.1,13.1,3.5,5.3,2.2,1.3,0.2,29.1,0.291,106.8,1.068,12.2,22.5,81.7,13.7,96.7,7931
Lou Amundson,PF,25,PHI,NBA,2008,16,0,64,8,16,8,16,0,0,2,7,7,5,12,0,1,1,2,13,18,0.5,50,14.3,0.143,0.5,,0.5,0.286,0.472,100,0,88.9,0,0,11.1,11.1,11.1,88.9,75,0.75,25,0,0,0,0,75,25,0.5,1,50,0,0,0,0.5,0,0.4,28.6,0.286,0.4,0.3,1.1,0.8,0,0.1,0.1,0.1,31.8,0.318,106.4,1.064,13,26.1,81.1,14.3,96.6,7923
Chris Andersen,PF,29,NOH,NBA,2008,5,0,34,2,7,2,7,0,0,2,4,2,7,9,0,0,4,1,6,6,0.286,28.6,12.5,0.125,0.286,,0.286,0.5,0.342,100,0,66.7,0,0,0,33.3,0,66.7,50,0.5,50,0,0,0,0,50,50,0.4,1.4,28.6,0,0,0,0.4,0,0.8,50,0.5,0.4,1.4,1.2,1.8,0,0.2,0,0.8,27,0.27,111.5,1.115,11.4,20.8,82.9,11.9,100.9,8270
Derek Anderson,SG,33,CHA,NBA,2008,28,0,396,47,125,28,73,19,52,28,38,9,43,52,44,12,1,25,49,141,0.376,37.6,19.3,0.193,0.384,0.365,0.452,0.737,0.497,58.4,41.6,39.7,18.4,40.4,5.7,19.9,9.9,21.3,35.7,0.357,64.3,94.7,0.947,5.3,0.053,59.6,40.4,1.7,4.5,37.6,0.7,1.9,36.5,1,36.5,1.4,73.7,0.737,0.3,1.5,5,1.9,1.6,0.9,0.4,0,25.6,0.256,104.6,1.046,10.9,25.8,79.9,14.7,97.1,7959
