Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Quincy Acy,SF,22,TOR,NBA,2013,29,0,342,42,75,41,73,1,2,31,38,30,47,77,11,13,15,17,53,116,0.56,56,14.6,0.146,0.562,0.5,0.567,0.816,0.632,97.3,2.7,70.7,15.5,2.6,14.7,26.7,17.2,55.2,73.2,0.732,26.8,100,1,0,0,73.8,26.2,1.4,2.6,56,0,0.1,50,1.4,1.1,1.3,81.6,0.816,1,1.6,4,2.7,0.4,0.6,0.4,0.5,25.5,0.255,105.9,1.059,10.6,22.3,81.5,13.7,97.2,7971
Jeff Adrien,SF,26,CHA,NBA,2013,52,5,713,72,168,72,166,0,2,65,100,68,128,196,36,18,27,32,80,209,0.429,42.9,15.7,0.157,0.434,0,0.429,0.65,0.493,98.8,1.2,68.9,21.1,0,6.7,31.1,8.6,47.8,63.9,0.639,36.1,0,0,0,0,63.9,36.1,1.4,3.2,42.9,0,0,0,1.4,1.3,1.9,65,0.65,1.3,2.5,4,3.8,0.7,0.6,0.3,0.5,25.7,0.257,101.5,1.015,11.2,25.1,81.1,14.1,93.4,7661
Arron Afflalo,SG,27,ORL,NBA,2013,64,64,2307,397,905,325,665,72,240,191,223,29,210,239,206,40,11,138,137,1057,0.439,43.9,22.8,0.228,0.489,0.3,0.478,0.857,0.527,73.5,26.5,61.5,28.9,20.4,16.4,18.1,14.8,32.5,48.6,0.486,51.4,95.8,0.958,4.2,0.042,57.2,42.8,6.2,14.1,43.9,1.1,3.8,30,5.1,3,3.5,85.7,0.857,0.5,3.3,16.5,3.7,3.2,2.2,0.6,0.2,25.4,0.254,101.6,1.016,10.9,16.6,84.2,14.5,94.1,7718
Josh Akognon,PG,26,DAL,NBA,2013,3,0,9,2,4,1,2,1,2,0,0,0,1,1,1,0,0,0,3,5,0.5,50,23.5,0.235,0.5,0.5,0.625,,0.625,50,50,40,40,60,0,0,0,0,0,0,100,100,1,0,0,50,50,0.7,1.3,50,0.3,0.7,50,0.3,0,0,0,0,0,0.3,1.7,0.3,0.3,0,0,0,21.8,0.218,105.9,1.059,9.4,20.4,84,14,101.1,8293
Cole Aldrich,C,24,TOT,NBA,2013,45,0,388,44,80,44,80,0,0,12,20,30,90,120,9,5,23,23,60,100,0.55,55,12.5,0.125,0.55,,0.55,0.6,0.563,100,0,88,2,0,7,12,15,86,63.6,0.636,36.4,0,0,0,0,63.6,36.4,1,1.8,55,0,0,0,1,0.3,0.4,60,0.6,0.7,2,2.2,2.7,0.2,0.5,0.1,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LaMarcus Aldridge,PF,27,POR,NBA,2013,74,74,2790,638,1318,636,1304,2,14,282,348,175,495,670,192,62,91,143,187,1560,0.484,48.4,26.5,0.265,0.488,0.143,0.485,0.81,0.53,98.9,1.1,81.5,41.4,0.4,3.7,18.1,12.6,40.1,54.2,0.542,45.8,50,0.5,50,0.5,54.2,45.8,8.6,17.8,48.4,0,0.2,14.3,8.6,3.8,4.7,81,0.81,2.4,6.7,21.1,9.1,2.6,1.9,0.8,1.2,25.3,0.253,105.8,1.058,10.7,20.5,81.9,14.7,97.5,7995
Lavoy Allen,PF,23,PHI,NBA,2013,79,37,1669,206,454,206,453,0,1,43,60,159,236,395,73,24,55,55,180,455,0.454,45.4,14.9,0.149,0.455,0,0.454,0.717,0.474,99.8,0.2,90.5,34.7,0,2.2,9.5,15.2,55.8,74.3,0.743,25.7,0,0,0,0,74.3,25.7,2.6,5.7,45.4,0,0,0,2.6,0.5,0.8,71.7,0.717,2,3,5.8,5,0.9,0.7,0.3,0.7,24.9,0.249,102,1.02,10.9,16.8,84.1,13,93.2,7640
Ray Allen,SG,37,MIA,NBA,2013,79,0,2035,292,651,153,319,139,332,140,158,40,177,217,135,67,15,103,129,863,0.449,44.9,19.3,0.193,0.48,0.419,0.555,0.886,0.599,49,51,35.5,11.1,48.3,6.6,16.2,14.9,24.3,49.7,0.497,50.3,95,0.95,5,0.05,71.2,28.8,3.7,8.2,44.9,1.8,4.2,41.9,1.9,1.8,2,88.6,0.886,0.5,2.2,10.9,2.7,1.7,1.3,0.8,0.2,22.2,0.222,112.3,1.123,8.2,23,77.4,13.9,102.9,8436
Tony Allen,SG,31,MEM,NBA,2013,79,79,2109,284,638,281,614,3,24,134,187,121,242,363,98,119,44,94,211,705,0.445,44.5,17.9,0.179,0.458,0.125,0.447,0.717,0.489,96.2,3.8,79.7,15,1.3,28.1,19,25.7,64.7,63.7,0.637,36.3,100,1,0,0,64.1,35.9,3.6,8.1,44.5,0,0.3,12.5,3.6,1.7,2.4,71.7,0.717,1.5,3.1,8.9,4.6,1.2,1.2,1.5,0.6,31,0.31,104.9,1.049,12.9,21.3,81.5,14,93.4,7659
Al Aminu,#N/A,22,NOH,NBA,2013,76,71,2066,225,474,221,455,4,19,101,137,139,446,585,103,92,51,116,153,555,0.475,47.5,#N/A,#N/A,0.486,0.211,0.479,0.737,0.519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.2,0.292,105.7,1.057,12,20,80.4,14.5,94.1,7714
