Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Quincy Acy,SF,25,SAC,NBA,2016,59,29,876,119,214,100,165,19,49,50,68,65,123,188,27,29,24,27,103,307,0.556,55.6,13.1,0.131,0.606,0.388,0.6,0.735,0.629,77.1,22.9,65.1,12.4,18.6,15.3,16.3,52.8,52.8,71,0.71,29,94.7,0.947,5.3,0.053,74.8,25.2,2,3.6,55.6,0.3,0.8,38.8,1.7,0.8,1.2,73.5,0.735,1.1,2.1,5.2,3.2,0.5,0.5,0.5,0.4,23.9,0.239,106,1.06,10.6,25.5,86.4,16.2,106.6,8740
Jordan Adams,SG,21,MEM,NBA,2016,2,0,15,2,6,2,5,0,1,3,5,0,2,2,3,3,0,2,2,7,0.333,33.3,28.6,0.286,0.4,0,0.333,0.6,0.427,83.3,16.7,57.1,28.6,0,14.3,42.9,28.6,28.6,50,0.5,50,0,0,0,0,50,50,1,3,33.3,0,0.5,0,1,1.5,2.5,60,0.6,0,1,3.5,1,1.5,1,1.5,0,25.3,0.253,105.4,1.054,11.2,24.7,83.6,13.3,99.1,8126
Steven Adams,C,22,OKC,NBA,2016,80,80,2014,261,426,261,426,0,0,114,196,219,314,533,62,42,89,84,223,636,0.613,61.3,12.7,0.127,0.613,,0.613,0.582,0.621,100,0,82.1,1.9,0,6.6,17.9,80.2,80.2,76.2,0.762,23.8,0,0,0,0,76.2,23.8,3.3,5.3,61.3,0,0,0,3.3,1.4,2.5,58.2,0.582,2.7,3.9,8,6.7,0.8,1.1,0.5,1.1,31.1,0.311,113.1,1.131,13.1,25.2,86.4,15.9,110.2,9038
Arron Afflalo,SG,30,NYK,NBA,2016,71,57,2371,354,799,263,561,91,238,110,131,23,243,266,144,25,10,82,142,909,0.443,44.3,18.1,0.181,0.469,0.382,0.5,0.84,0.531,70.2,29.8,57.9,28.8,30,8.8,12.1,29,29,49,0.49,51,91.2,0.912,8.8,0.088,59.9,40.1,5,11.3,44.3,1.3,3.4,38.2,3.7,1.5,1.8,84,0.84,0.3,3.4,12.8,3.7,2,1.2,0.4,0.1,23.7,0.237,104.6,1.046,10.4,21.4,84,13.4,98.4,8065
Alexis Ajinca,C,27,NOP,NBA,2016,59,17,861,150,315,150,314,0,1,52,62,75,194,269,31,19,36,54,134,352,0.476,47.6,20.6,0.206,0.478,0,0.476,0.839,0.514,99.7,0.3,85.2,35.2,0,1.4,14.8,50,50,76.7,0.767,23.3,0,0,0,0,76.7,23.3,2.5,5.3,47.6,0,0,0,2.5,0.9,1.1,83.9,0.839,1.3,3.3,6,4.6,0.5,0.9,0.3,0.6,21.2,0.212,105.6,1.056,9.5,22.2,85.9,13.4,102.7,8423
Cole Aldrich,C,27,LAC,NBA,2016,60,5,800,134,225,134,225,0,0,60,84,86,202,288,50,47,68,64,139,328,0.596,59.6,19,0.19,0.596,,0.596,0.714,0.626,100,0,81.7,1.2,0,1.8,18.3,80.5,80.5,77.6,0.776,22.4,0,0,0,0,77.6,22.4,2.2,3.8,59.6,0,0,0,2.2,1,1.4,71.4,0.714,1.4,3.4,5.5,4.8,0.8,1.1,0.8,1.1,20.1,0.201,108.3,1.083,8.8,26.2,82.4,13,104.5,8569
LaMarcus Aldridge,PF,30,SAS,NBA,2016,74,74,2261,536,1045,536,1029,0,16,259,302,176,456,632,110,38,81,99,151,1331,0.513,51.3,26,0.26,0.521,0,0.513,0.858,0.565,98.5,1.5,80.5,34.3,0,5.3,19.5,46.3,46.3,66,0.66,34,0,0,0,0,66,34,7.2,14.1,51.3,0,0.2,0,7.2,3.5,4.1,85.8,0.858,2.4,6.2,18,8.5,1.5,1.3,0.5,1.1,23,0.23,110.3,1.103,9.4,20.4,82.9,13.1,103.5,8490
Cliff Alexander,PF,20,POR,NBA,2016,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,0.5,50,15.1,0.151,0.5,,0.5,,0.5,100,0,100,20,0,0,0,80,80,40,0.4,60,0,0,0,0,40,60,0.6,1.3,50,0,0,0,0.6,0,0,0,0,0.3,0.5,1.3,0.8,0,0.1,0.1,0.3,25.9,0.259,108.8,1.088,11.6,23,85.9,14.6,105.1,8622
Lavoy Allen,PF,26,IND,NBA,2016,79,28,1599,191,370,191,370,0,0,46,73,162,262,424,76,26,42,69,147,428,0.516,51.6,13.1,0.131,0.516,,0.516,0.63,0.532,100,0,89.3,20.6,0,3.7,10.7,68.7,68.7,69.1,0.691,30.9,0,0,0,0,69.1,30.9,2.4,4.7,51.6,0,0,0,2.4,0.6,0.9,63,0.63,2.1,3.3,5.4,5.4,1,0.9,0.3,0.5,23.4,0.234,104.6,1.046,10.3,22.8,85.2,14.9,102.2,8377
Tony Allen,SG,34,MEM,NBA,2016,64,57,1620,215,469,200,427,15,42,90,138,104,192,296,70,110,18,78,175,535,0.458,45.8,17,0.17,0.468,0.357,0.474,0.652,0.505,91,9,74.8,9.7,8.4,27.3,16.8,65,65,58,0.58,42,93.3,0.933,6.7,0.067,60.5,39.5,3.4,7.3,45.8,0.2,0.7,35.7,3.1,1.4,2.2,65.2,0.652,1.6,3,8.4,4.6,1.1,1.2,1.7,0.3,25.3,0.253,105.4,1.054,11.2,24.7,83.6,13.3,99.1,8126
Al-Farouq Aminu,SF,25,POR,NBA,2016,82,82,2341,299,719,173,370,126,349,115,156,98,401,499,138,72,53,120,171,839,0.416,41.6,16.9,0.169,0.468,0.361,0.503,0.737,0.533,51.5,48.5,41.2,8.3,45.1,11.4,13.7,32.9,32.9,59.5,0.595,40.5,92.9,0.929,7.1,0.071,73.6,26.4,3.6,8.8,41.6,1.5,4.3,36.1,2.1,1.4,1.9,73.7,0.737,1.2,4.9,10.2,6.1,1.7,1.5,0.9,0.6,25.9,0.259,108.8,1.088,11.6,23,85.9,14.6,105.1,8622
Lou Amundson,PF,33,NYK,NBA,2016,29,0,204,19,53,19,53,0,0,14,27,23,26,49,12,6,7,15,44,52,0.358,35.8,17.5,0.175,0.358,,0.358,0.519,0.401,100,0,73.1,3.8,0,9.6,26.9,69.2,69.2,63.2,0.632,36.8,0,0,0,0,63.2,36.8,0.7,1.8,35.8,0,0,0,0.7,0.5,0.9,51.9,0.519,0.8,0.9,1.8,1.7,0.4,0.5,0.2,0.2,23.7,0.237,104.6,1.046,10.4,21.4,84,13.4,98.4,8065
Chris Andersen,PF,37,MEM,NBA,2016,27,15,402,38,72,34,58,4,14,25,36,36,62,98,12,15,13,9,29,105,0.528,52.8,10.9,0.109,0.586,0.286,0.556,0.694,0.598,80.6,19.4,64.8,5.7,11.4,13.3,23.8,59,59,67.6,0.676,32.4,100,1,0,0,71.1,28.9,1.4,2.7,52.8,0.1,0.5,28.6,1.3,0.9,1.3,69.4,0.694,1.3,2.3,3.9,3.6,0.4,0.3,0.6,0.5,25.3,0.253,105.4,1.054,11.2,24.7,83.6,13.3,99.1,8126
Alan Anderson,SG,33,WAS,NBA,2016,13,0,192,21,59,9,22,12,37,11,15,1,26,27,14,4,1,2,25,65,0.356,35.6,15.7,0.157,0.409,0.324,0.458,0.733,0.495,37.3,62.7,27.7,9.2,55.4,13.8,16.9,18.5,18.5,33.3,0.333,66.7,100,1,0,0,71.4,28.6,1.6,4.5,35.6,0.9,2.8,32.4,0.7,0.8,1.2,73.3,0.733,0.1,2,5,2.1,1.1,0.2,0.3,0.1,20.6,0.206,105.3,1.053,9.1,22.5,85.8,14.5,104.1,8534
James Anderson,SG,26,SAC,NBA,2016,51,15,721,67,178,44,92,23,86,22,29,13,73,86,41,21,14,42,54,179,0.376,37.6,13.7,0.137,0.478,0.267,0.441,0.759,0.469,51.7,48.3,49.2,5.6,38.5,17.9,12.3,43.6,43.6,52.3,0.523,47.7,87,0.87,13,0.13,64.2,35.8,1.3,3.5,37.6,0.5,1.7,26.7,0.9,0.4,0.6,75.9,0.759,0.3,1.4,3.5,1.7,0.8,0.8,0.4,0.3,23.9,0.239,106,1.06,10.6,25.5,86.4,16.2,106.6,8740
Justin Anderson,SG,22,DAL,NBA,2016,55,9,647,71,175,49,92,22,83,44,55,18,114,132,29,19,25,24,45,208,0.406,40.6,15.5,0.155,0.533,0.265,0.469,0.8,0.522,52.6,47.4,47.1,9.6,31.7,25,21.2,37.5,37.5,44.9,0.449,55.1,90.9,0.909,9.1,0.091,59.2,40.8,1.3,3.2,40.6,0.4,1.5,26.5,0.9,0.8,1,80,0.8,0.3,2.1,3.8,2.4,0.5,0.4,0.3,0.5,20.6,0.206,106.7,1.067,9.2,22.3,84.1,12.8,102.3,8388
Kyle Anderson,SG,22,SAS,NBA,2016,78,11,1245,138,295,126,258,12,37,62,83,25,219,244,123,60,29,59,97,350,0.468,46.8,14.7,0.147,0.488,0.324,0.488,0.747,0.528,87.5,12.5,72,30.9,10.3,11.1,17.7,41.1,41.1,48.4,0.484,51.6,100,1,0,0,52.9,47.1,1.8,3.8,46.8,0.2,0.5,32.4,1.6,0.8,1.1,74.7,0.747,0.3,2.8,4.5,3.1,1.6,0.8,0.8,0.4,23,0.23,110.3,1.103,9.4,20.4,82.9,13.1,103.5,8490
