Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Shareef Abdur-Rahim,PF,29,SAC,NBA,2006,72,30,1961,332,632,327,610,5,22,218,278,106,251,357,149,48,42,108,227,887,0.525,52.5,20.1,0.201,0.536,0.227,0.529,0.784,0.588,96.5,3.5,73.7,16.9,1.7,5,24.6,16.3,56.8,53.5,0.535,46.5,100,1,0,0,54.2,45.8,4.6,8.8,52.5,0.1,0.3,22.7,4.5,3,3.9,78.4,0.784,1.5,3.5,12.3,5,2.1,1.5,0.7,0.6,25.4,0.254,106.7,1.067,10.4,26.5,79.3,14.6,98.9,8106
Alex Acker,G,23,DET,NBA,2006,5,0,35,4,16,3,11,1,5,0,0,1,4,5,4,1,0,4,4,9,0.25,25,22.8,0.228,0.273,0.2,0.281,,0.281,68.8,31.3,66.7,44.4,33.3,55.6,0,0,22.2,33.3,0.333,66.7,0,0,100,1,25,75,0.8,3.2,25,0.2,1,20,0.6,0,0,0,0,0.2,0.8,1.8,1,0.8,0.8,0.2,0,28.9,0.289,110.8,1.108,11.9,23.8,80,11.4,96.8,7941
Malik Allen,PF,27,CHI,NBA,2006,54,20,701,121,247,120,246,1,1,23,38,44,96,140,20,14,16,34,92,266,0.49,49,18.6,0.186,0.488,1,0.492,0.605,0.504,99.6,0.4,90.2,51.1,1.1,2.3,8.6,15.8,39.1,72.5,0.725,27.5,0,0,100,1,71.9,28.1,2.2,4.6,49,0,0,100,2.2,0.4,0.7,60.5,0.605,0.8,1.8,4.9,2.6,0.4,0.6,0.3,0.3,26.3,0.263,104,1.04,11,24,82.2,14.9,97.8,8020
Ray Allen,SG,30,SEA,NBA,2006,78,78,3022,681,1500,412,847,269,653,324,359,71,261,332,286,105,16,188,151,1955,0.454,45.4,27.4,0.274,0.486,0.412,0.544,0.903,0.59,56.5,43.5,42.1,20.9,41.3,14,16.6,14.1,21.3,33.7,0.337,66.3,75.1,0.751,24.9,0.249,50.1,49.9,8.7,19.2,45.4,3.4,8.4,41.2,5.3,4.2,4.6,90.3,0.903,0.9,3.3,25.1,4.3,3.7,2.4,1.3,0.2,30.4,0.304,111.1,1.111,12.4,25.7,81.8,14.7,102.6,8411
Tony Allen,SG,24,BOS,NBA,2006,51,9,978,129,274,118,240,11,34,100,134,32,79,111,67,51,18,67,126,369,0.471,47.1,18.8,0.188,0.492,0.324,0.491,0.746,0.554,87.6,12.4,64,6,8.9,26.6,27.1,26,58,46.6,0.466,53.4,90.9,0.909,9.1,0.091,50.4,49.6,2.5,5.4,47.1,0.2,0.7,32.4,2.3,2,2.6,74.6,0.746,0.6,1.5,7.2,2.2,1.3,1.3,1,0.4,25.5,0.255,105.2,1.052,9.9,26.9,77.1,16.6,98,8033
Rafer Alston,PG,29,HOU,NBA,2006,63,63,2431,280,738,178,426,102,312,99,143,36,219,255,425,101,15,157,194,761,0.379,37.9,18.7,0.187,0.418,0.327,0.449,0.692,0.475,57.7,42.3,46.8,14.7,40.2,14.3,13,21.3,32.1,17.4,0.174,82.6,91.2,0.912,8.8,0.088,44.3,55.7,4.4,11.7,37.9,1.6,5,32.7,2.8,1.6,2.3,69.2,0.692,0.6,3.5,12.1,4,6.7,2.5,1.6,0.2,25.5,0.255,101.6,1.016,10.4,24.1,76.2,14.5,90.1,7387
Chris Andersen,PF,27,NOK,NBA,2006,32,2,570,56,98,56,98,0,0,49,103,61,94,155,6,8,41,26,84,161,0.571,57.1,13.9,0.139,0.571,,0.571,0.476,0.562,100,0,69.6,6.2,0,6.8,30.4,15.5,63.4,53.6,0.536,46.4,0,0,0,0,53.6,46.4,1.8,3.1,57.1,0,0,0,1.8,1.5,3.2,47.6,0.476,1.9,2.9,5,4.8,0.2,0.8,0.3,1.3,26.9,0.269,103.7,1.037,11.2,26.5,78.4,13.4,92.8,7611
Alan Anderson,SG,23,CHA,NBA,2006,36,7,564,75,181,51,123,24,58,33,41,23,47,70,32,11,4,32,48,207,0.414,41.4,18.2,0.182,0.415,0.414,0.481,0.805,0.52,68,32,49.3,11.6,34.8,10.1,15.9,21.7,37.7,56.9,0.569,43.1,87.5,0.875,12.5,0.125,66.7,33.3,2.1,5,41.4,0.7,1.6,41.4,1.4,0.9,1.1,80.5,0.805,0.6,1.3,5.8,1.9,0.9,0.9,0.3,0.1,27.1,0.271,102.5,1.025,12.1,26.7,83.5,14.2,96.9,7943
Derek Anderson,SG,31,TOT,NBA,2006,43,11,1047,108,303,68,169,40,134,93,111,21,122,143,101,23,6,54,98,349,0.356,35.6,18.6,0.186,0.402,0.299,0.422,0.838,0.496,55.8,44.2,39,22.9,34.4,9.7,26.6,13.5,16,38.2,0.382,61.8,87.5,0.875,12.5,0.125,56.5,43.5,2.5,7,35.6,0.9,3.1,29.9,1.6,2.2,2.6,83.8,0.838,0.5,2.8,8.1,3.3,2.3,1.3,0.5,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Shandon Anderson,SF,32,MIA,NBA,2006,48,1,638,54,126,49,107,5,19,13,18,18,63,81,30,17,6,24,75,126,0.429,42.9,11.9,0.119,0.458,0.263,0.448,0.722,0.47,84.9,15.1,77.8,41.3,11.9,11.9,10.3,15.1,36.5,81.6,0.816,18.4,100,1,0,0,83.3,16.7,1.1,2.6,42.9,0.1,0.4,26.3,1,0.3,0.4,72.2,0.722,0.4,1.3,2.6,1.7,0.6,0.5,0.4,0.1,26.7,0.267,108.7,1.087,10.5,28.2,77.5,14.5,99.9,8191
