Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Quincy Acy,SF,23,TOT,NBA,2014,63,0,847,66,141,62,126,4,15,35,53,72,144,216,28,23,26,30,122,171,0.468,46.8,10.1,0.101,0.492,0.267,0.482,0.66,0.52,89.4,10.6,72.5,12.9,7,12.9,20.5,12.3,59.6,69.4,0.694, ,100,1,0,0,71.2,28.8,1,2.2,46.8,0.1,0.2,26.7,1,0.6,0.8,66,0.66,1.1,2.3,2.7,3.4,0.4,0.5,0.4,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Steven Adams,C,20,OKC,NBA,2014,81,20,1197,93,185,93,185,0,0,79,136,142,190,332,43,40,57,71,203,265,0.503,50.3,11.6,0.116,0.503,,0.503,0.581,0.541,100,0,70.2,1.5,0,3.4,29.8,10.2,68.7,61.3,0.613,38.7,0,0,0,0,61.3,38.7,1.1,2.3,50.3,0,0,0,1.1,1,1.7,58.1,0.581,1.8,2.3,3.3,4.1,0.5,0.9,0.5,0.7,26.5,0.265,110.5,1.105,10.8,25,82.7,15.3,106.2,8705
Jeff Adrien,SF,27,TOT,NBA,2014,53,12,961,143,275,143,275,0,0,76,119,102,204,306,38,24,36,39,108,362,0.52,52,16.8,0.168,0.52,,0.52,0.639,0.553,100,0,79,11.6,0,6.4,21,14.4,67.4,64.3,0.643,35.7,0,0,0,0,64.3,35.7,2.7,5.2,52,0,0,0,2.7,1.4,2.2,63.9,0.639,1.9,3.8,6.8,5.8,0.7,0.7,0.5,0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arron Afflalo,SG,28,ORL,NBA,2014,73,73,2552,464,1011,336,711,128,300,274,336,32,230,262,248,35,3,146,136,1330,0.459,45.9,23.3,0.233,0.473,0.427,0.522,0.815,0.574,70.3,29.7,50.5,30.2,28.9,12.9,20.6,13.9,20.3,53,0.53,47,88.3,0.883,11.7,0.117,62.7,37.3,6.4,13.8,45.9,1.8,4.1,42.7,4.6,3.8,4.6,81.5,0.815,0.4,3.2,18.2,3.6,3.4,2,0.5,0,22.4,0.224,101.7,1.017,9.7,20.9,82.7,14.9,96.5,7914
Alexis Ajinca,C,25,NOP,NBA,2014,56,30,951,136,249,136,248,0,1,56,67,94,183,277,40,23,46,63,187,328,0.546,54.6,16.6,0.166,0.548,0,0.546,0.836,0.589,99.6,0.4,82.9,20.1,0,1.8,17.1,15.2,62.8,70.6,0.706,29.4,0,0,0,0,70.6,29.4,2.4,4.4,54.6,0,0,0,2.4,1,1.2,83.6,0.836,1.7,3.3,5.9,4.9,0.7,1.1,0.4,0.8,26.9,0.269,107.2,1.072,11.4,23.6,82.5,13.8,99.7,8177
Cole Aldrich,C,25,NYK,NBA,2014,46,2,330,33,61,33,61,0,0,26,30,37,92,129,14,8,30,18,40,92,0.541,54.1,12.8,0.128,0.541,,0.541,0.867,0.62,100,0,71.7,2.2,0,0,28.3,10.9,69.6,54.5,0.545,45.5,0,0,0,0,54.5,45.5,0.7,1.3,54.1,0,0,0,0.7,0.6,0.7,86.7,0.867,0.8,2,2,2.8,0.3,0.4,0.2,0.7,25.1,0.251,108.3,1.083,10.6,20.4,82.2,13,98.6,8084
LaMarcus Aldridge,PF,28,POR,NBA,2014,69,69,2498,652,1423,649,1408,3,15,296,360,166,599,765,178,63,68,123,147,1603,0.458,45.8,29.9,0.299,0.461,0.2,0.459,0.822,0.507,98.9,1.1,81,47.3,0.6,6,18.5,12.4,33.7,59.9,0.599,40.1,66.7,0.667,33.3,0.333,60,40,9.4,20.6,45.8,0,0.2,20,9.4,4.3,5.2,82.2,0.822,2.4,8.7,23.2,11.1,2.6,1.8,0.9,1,28,0.28,111.5,1.115,12.5,23.5,87,13.7,106.7,8753
Lavoy Allen,PF,24,TOT,NBA,2014,65,2,1072,134,300,132,287,2,13,33,50,119,192,311,71,24,33,44,126,303,0.447,44.7,14.3,0.143,0.46,0.154,0.45,0.66,0.47,95.7,4.3,87.1,27.1,2,4,10.9,14.9,60.1,69.7,0.697,30.3,100,1,0,0,70.1,29.9,2.1,4.6,44.7,0,0.2,15.4,2,0.5,0.8,66,0.66,1.8,3,4.7,4.8,1.1,0.7,0.4,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ray Allen,SG,38,MIA,NBA,2014,73,9,1936,240,543,124,234,116,309,105,116,23,182,205,143,54,8,84,115,701,0.442,44.2,16.8,0.168,0.53,0.375,0.549,0.905,0.59,43.1,56.9,35.4,12.3,49.6,11,15,17.4,23.1,51.6,0.516,48.4,95.7,0.957,4.3,0.043,72.9,27.1,3.3,7.4,44.2,1.6,4.2,37.5,1.7,1.4,1.6,90.5,0.905,0.3,2.5,9.6,2.8,2,1.2,0.7,0.1,20.6,0.206,110.9,1.109,7.6,23,76.5,14.8,102.2,8380
Tony Allen,SG,32,MEM,NBA,2014,55,28,1278,204,413,193,366,11,47,76,121,79,129,208,94,90,19,90,121,495,0.494,49.4,19.9,0.199,0.527,0.234,0.507,0.628,0.531,88.6,11.4,78,9.7,6.7,27.9,15.4,27.5,68.3,58,0.58,42,100,1,0,0,60.3,39.7,3.7,7.5,49.4,0.2,0.9,23.4,3.5,1.4,2.2,62.8,0.628,1.4,2.3,9,3.8,1.7,1.6,1.6,0.3,28.3,0.283,106.3,1.063,11.6,20.3,82,13.7,96.1,7884
Al Aminu,#N/A,23,NOP,NBA,2014,80,65,2045,234,494,221,446,13,48,91,137,129,367,496,114,82,38,88,147,572,0.474,47.4,#N/A,#N/A,0.496,0.271,0.487,0.664,0.516,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.9,0.269,107.2,1.072,11.4,23.6,82.5,13.8,99.7,8177
Lou Amundson,PF,31,TOT,NBA,2014,19,0,185,16,32,16,32,0,0,6,24,28,27,55,6,9,11,14,49,38,0.5,50,13.9,0.139,0.5,,0.5,0.25,0.446,100,0,84.2,0,0,0,15.8,31.6,84.2,75,0.75,25,0,0,0,0,75,25,0.8,1.7,50,0,0,0,0.8,0.3,1.3,25,0.25,1.5,1.4,2,2.9,0.3,0.7,0.5,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
