Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Shareef Rahim,#N/A,28,POR,NBA,2005,54,49,1867,337,670,322,631,15,39,220,254,123,269,392,111,49,26,117,150,909,0.503,50.3,#N/A,#N/A,0.51,0.385,0.514,0.866,0.581,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.6,0.296,103.2,1.032,11.8,23.7,78.3,16,92.9,7621
Cory Alexander,PG,31,CHA,NBA,2005,16,1,201,16,49,8,30,8,19,9,12,8,21,29,37,9,1,19,29,49,0.327,32.7,16.1,0.161,0.267,0.421,0.408,0.75,0.451,61.2,38.8,32.7,12.2,49,12.2,18.4,8.2,20.4,25,0.25,75,100,1,0,0,62.5,37.5,1,3.1,32.7,0.5,1.2,42.1,0.5,0.6,0.8,75,0.75,0.5,1.3,3.1,1.8,2.3,1.2,0.6,0.1,29.5,0.295,101.1,1.011,13.2,25.6,83.6,14.5,94.3,7729
Malik Allen,PF,26,TOT,NBA,2005,36,1,519,84,177,84,177,0,0,26,28,40,59,99,18,9,22,18,53,194,0.475,47.5,18.6,0.186,0.475,,0.475,0.929,0.512,100,0,86.6,53.6,0,3.1,13.4,13.4,33,64.3,0.643,35.7,0,0,0,0,64.3,35.7,2.3,4.9,47.5,0,0,0,2.3,0.7,0.8,92.9,0.929,1.1,1.6,5.4,2.8,0.5,0.5,0.3,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ray Allen,SG,29,SEA,NBA,2005,78,78,3064,640,1494,431,938,209,556,378,428,79,268,347,289,84,5,171,167,1867,0.428,42.8,27.6,0.276,0.459,0.376,0.498,0.883,0.555,62.8,37.2,46.2,21.5,33.6,11.7,20.2,13.8,24.6,31.1,0.311,68.9,80.4,0.804,19.6,0.196,47.2,52.8,8.2,19.2,42.8,2.7,7.1,37.6,5.5,4.8,5.5,88.3,0.883,1,3.4,23.9,4.4,3.7,2.2,1.1,0.1,32.4,0.324,112.2,1.122,12.7,26,79.2,13.6,98.9,8113
Tony Allen,SG,23,BOS,NBA,2005,77,34,1262,184,387,172,356,12,31,112,152,85,136,221,64,76,24,77,156,492,0.475,47.5,18.7,0.187,0.483,0.387,0.491,0.737,0.542,92,8,69.9,13.4,7.3,34.1,22.8,28.7,56.5,54.7,0.547,45.3,100,1,0,0,57.6,42.4,2.4,5,47.5,0.2,0.4,38.7,2.2,1.5,2,73.7,0.737,1.1,1.8,6.4,2.9,0.8,1,1,0.3,27.2,0.272,107.5,1.075,11.1,28.3,79.4,15.8,101.3,8304
Rafer Alston,PG,28,TOR,NBA,2005,80,78,2717,403,974,264,585,139,389,191,258,42,237,279,514,118,7,170,212,1136,0.414,41.4,21.1,0.211,0.451,0.357,0.485,0.74,0.522,60.1,39.9,46.5,14.1,36.7,18,16.8,16.7,32.4,15.2,0.152,84.8,54.7,0.547,45.3,0.453,28.8,71.2,5,12.2,41.4,1.7,4.9,35.7,3.3,2.4,3.2,74,0.74,0.5,3,14.2,3.5,6.4,2.1,1.5,0.1,23.7,0.237,106.9,1.069,10.3,25.6,81.2,13.3,99.7,8178
Chris Andersen,PF,26,NOH,NBA,2005,67,2,1430,191,358,191,355,0,3,131,190,137,273,410,71,14,100,64,144,513,0.534,53.4,16.9,0.169,0.538,0,0.534,0.689,0.581,99.2,0.8,74.5,14.4,0,10.7,25.5,17.9,60,63.4,0.634,36.6,0,0,0,0,63.4,36.6,2.9,5.3,53.4,0,0,0,2.9,2,2.8,68.9,0.689,2,4.1,7.7,6.1,1.1,1,0.2,1.5,29.1,0.291,99.7,0.997,12.4,22.3,80,14.8,88.4,7252
Derek Anderson,SG,30,POR,NBA,2005,47,32,1239,152,391,94,240,58,151,70,87,25,103,128,143,36,4,70,89,432,0.389,38.9,18.5,0.185,0.392,0.384,0.463,0.805,0.503,61.4,38.6,43.5,21.3,40.3,6.7,16.2,19.2,22.2,43.6,0.436,56.4,86.2,0.862,13.8,0.138,59.9,40.1,3.2,8.3,38.9,1.2,3.2,38.4,2,1.5,1.9,80.5,0.805,0.5,2.2,9.2,2.7,3,1.5,0.8,0.1,29.6,0.296,103.2,1.032,11.8,23.7,78.3,16,92.9,7621
Kenny Anderson,PG,34,TOT,NBA,2005,43,20,743,85,201,79,188,6,13,27,37,24,64,88,103,33,0,49,87,203,0.423,42.3,16,0.16,0.42,0.462,0.438,0.73,0.467,93.5,6.5,77.8,43.3,8.9,9.4,13.3,19.2,34.5,51.9,0.519,48.1,83.3,0.833,16.7,0.167,54.1,45.9,2,4.7,42.3,0.1,0.3,46.2,1.8,0.6,0.9,73,0.73,0.6,1.5,4.7,2,2.4,1.1,0.8,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Shandon Anderson,SF,31,TOT,NBA,2005,66,5,1171,98,217,93,188,5,29,54,66,41,150,191,70,40,14,50,138,255,0.452,45.2,12,0.12,0.495,0.172,0.463,0.818,0.518,86.6,13.4,72.9,22.7,5.9,13.7,21.2,20.8,50.2,68.8,0.688,31.2,100,1,0,0,70.4,29.6,1.5,3.3,45.2,0.1,0.4,17.2,1.4,0.8,1,81.8,0.818,0.6,2.3,3.9,2.9,1.1,0.8,0.6,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
