Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Jeff Adrien,SF,25,HOU,NBA,2012,8,0,63,7,16,7,16,0,0,7,12,5,17,22,1,0,2,2,13,21,0.438,43.8,16.6,0.166,0.438,,0.438,0.583,0.493,100,0,66.7,19,0,14.3,33.3,4.8,47.6,42.9,0.429,57.1,0,0,0,0,42.9,57.1,0.9,2,43.8,0,0,0,0.9,0.9,1.5,58.3,0.583,0.6,2.1,2.6,2.8,0.1,0.3,0,0.3,27.5,0.275,105.5,1.055,11.7,19.7,84,14.5,98.1,6474
Arron Afflalo,SG,26,DEN,NBA,2012,62,62,2086,329,699,241,478,88,221,197,247,40,157,197,149,36,13,85,134,943,0.471,47.1,19.2,0.192,0.504,0.398,0.534,0.798,0.584,68.4,31.6,51.1,14,28,25.9,20.9,23.1,37.1,68.9,0.689,31.1,96.6,0.966,3.4,0.034,76.3,23.7,5.3,11.3,47.1,1.4,3.6,39.8,3.9,3.2,4,79.8,0.798,0.6,2.5,15.2,3.2,2.4,1.4,0.6,0.2,27.7,0.277,109.2,1.092,11.2,26.7,81.9,15.4,104.1,6872
Blake Ahearn,PG,27,UTA,NBA,2012,4,0,30,4,14,2,5,2,9,0,0,0,2,2,1,0,0,5,4,10,0.286,28.6,28.1,0.281,0.4,0.222,0.357,,0.357,35.7,64.3,40,20,60,0,0,0,20,50,0.5,50,50,0.5,50,0.5,50,50,1,3.5,28.6,0.5,2.3,22.2,0.5,0,0,0,0,0,0.5,2.5,0.5,0.3,1.3,0,0,30.2,0.302,106.8,1.068,13,25.3,83.8,14.2,99.7,6577
Solomon Alabi,C,23,TOR,NBA,2012,14,0,122,13,36,13,36,0,0,7,8,15,32,47,3,2,9,5,11,33,0.361,36.1,16.9,0.169,0.361,,0.361,0.875,0.418,100,0,78.8,12.1,0,0,21.2,18.2,66.7,46.2,0.462,53.8,0,0,0,0,46.2,53.8,0.9,2.6,36.1,0,0,0,0.9,0.5,0.6,87.5,0.875,1.1,2.3,2.4,3.4,0.2,0.4,0.1,0.6,25.9,0.259,100.8,1.008,10.6,21.4,78.1,15.2,90.7,5986
Cole Aldrich,C,23,OKC,NBA,2012,26,0,173,22,42,22,42,0,0,13,14,13,35,48,3,8,16,9,22,57,0.524,52.4,15.7,0.157,0.524,,0.524,0.929,0.592,100,0,77.2,3.5,0,14,22.8,21.1,73.7,77.3,0.773,22.7,0,0,0,0,77.3,22.7,0.8,1.6,52.4,0,0,0,0.8,0.5,0.5,92.9,0.929,0.5,1.3,2.2,1.8,0.1,0.3,0.3,0.6,27.8,0.278,109.8,1.098,11,26.4,79.2,16.3,103.1,6802
LaMarcus Aldridge,PF,26,POR,NBA,2012,55,55,1994,483,943,481,932,2,11,223,274,150,292,442,134,51,45,111,153,1191,0.512,51.2,27.1,0.271,0.516,0.182,0.513,0.814,0.56,98.8,1.2,80.8,34.6,0.5,6,18.7,15.5,46.2,53.6,0.536,46.4,50,0.5,50,0.5,53.6,46.4,8.8,17.1,51.2,0,0.2,18.2,8.7,4.1,5,81.4,0.814,2.7,5.3,21.7,8,2.4,2,0.9,0.8,26.3,0.263,105.7,1.057,11.1,21.6,82.1,14.2,97.2,6415
Lavoy Allen,PF,22,PHI,NBA,2012,41,15,624,79,167,79,167,0,0,11,14,47,124,171,34,13,18,20,73,169,0.473,47.3,14.8,0.148,0.473,,0.473,0.786,0.488,100,0,93.5,33.1,0,3.6,6.5,16.6,60.4,84.8,0.848,15.2,0,0,0,0,84.8,15.2,1.9,4.1,47.3,0,0,0,1.9,0.3,0.3,78.6,0.786,1.1,3,4.1,4.2,0.8,0.5,0.3,0.4,24.4,0.244,103.9,1.039,10.7,18.2,83.6,11.2,93.6,6180
Ray Allen,SG,36,BOS,NBA,2012,46,42,1565,226,493,120,259,106,234,97,106,14,128,142,109,49,8,68,83,655,0.458,45.8,18.6,0.186,0.463,0.453,0.566,0.915,0.607,52.5,47.5,36.6,15.9,48.5,13,14.8,19.1,20.8,64.2,0.642,35.8,93.4,0.934,6.6,0.066,77.9,22.1,4.9,10.7,45.8,2.3,5.1,45.3,2.6,2.1,2.3,91.5,0.915,0.3,2.8,14.2,3.1,2.4,1.5,1.1,0.2,19.7,0.197,101,1.01,7.7,19.8,77.1,14.8,91.8,6062
Tony Allen,SG,30,MEM,NBA,2012,58,57,1525,210,448,202,422,8,26,140,175,98,135,233,79,104,33,94,142,568,0.469,46.9,18.5,0.185,0.479,0.308,0.478,0.8,0.541,94.2,5.8,71.1,12.3,4.2,36.6,24.6,28.3,58.8,61.9,0.619,38.1,100,1,0,0,63.3,36.7,3.6,7.7,46.9,0.1,0.4,30.8,3.5,2.4,3,80,0.8,1.7,2.3,9.8,4,1.4,1.6,1.8,0.6,29.8,0.298,104,1.04,12.6,22.8,82.2,14.5,95,6269
Morris Almond,SG,26,WAS,NBA,2012,4,0,67,6,17,5,14,1,3,1,3,1,7,8,2,7,0,1,6,14,0.353,35.3,12.5,0.125,0.357,0.333,0.382,0.333,0.382,82.4,17.6,71.4,42.9,21.4,7.1,7.1,35.7,28.6,100,1,0,100,1,0,0,100,0,1.5,4.3,35.3,0.3,0.8,33.3,1.3,0.3,0.8,33.3,0.333,0.3,1.8,3.5,2,0.5,0.3,1.8,0,27.3,0.273,101,1.01,11.7,21,83,15.3,93.6,6180
