Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Quincy Acy,SF,24,NYK,NBA,2015,68,22,1287,152,331,134,271,18,60,76,97,79,222,301,68,27,22,60,147,398,0.459,45.9,15.5,0.155,0.494,0.3,0.486,0.784,0.533,81.9,18.1,67.3,25.6,13.6,10.3,19.1,16.1,41.7,72.4,0.724,27.6,100,1,0,0,75.7,24.3,2.2,4.9,45.9,0.3,0.9,30,2,1.1,1.4,78.4,0.784,1.2,3.3,5.9,4.4,1,0.9,0.4,0.3,24.5,0.245,99.9,0.999,10.6,19.2,82,14.7,91.9,7535
Jordan Adams,SG,20,MEM,NBA,2015,30,0,248,35,86,25,61,10,25,14,23,9,19,28,16,16,7,14,24,94,0.407,40.7,19.5,0.195,0.41,0.4,0.465,0.609,0.489,70.9,29.1,53.2,14.9,31.9,25.5,14.9,25.5,38.3,60,0.6,40,90,0.9,10,0.1,68.6,31.4,1.2,2.9,40.7,0.3,0.8,40,0.8,0.5,0.8,60.9,0.609,0.3,0.6,3.1,0.9,0.5,0.5,0.5,0.2,24.7,0.247,105.7,1.057,10.4,22.8,82.5,13.3,98.3,8062
Steven Adams,C,21,OKC,NBA,2015,70,67,1771,217,399,217,397,0,2,103,205,199,324,523,66,38,86,99,222,537,0.544,54.4,14.4,0.144,0.547,0,0.544,0.502,0.549,99.5,0.5,80.8,1.1,0,6.1,19.2,10.2,79.7,65,0.65,35,0,0,0,0,65,35,3.1,5.7,54.4,0,0,0,3.1,1.5,2.9,50.2,0.502,2.8,4.6,7.7,7.5,0.9,1.4,0.5,1.2,28.9,0.289,107.8,1.078,12.8,24.6,86.8,14.7,104,8524
Jeff Adrien,SF,28,MIN,NBA,2015,17,0,215,19,44,19,44,0,0,22,38,23,54,77,15,4,9,9,30,60,0.432,43.2,13.7,0.137,0.432,,0.432,0.579,0.494,100,0,63.3,13.3,0,3.3,36.7,16.7,50,63.2,0.632,36.8,0,0,0,0,63.2,36.8,1.1,2.6,43.2,0,0,0,1.1,1.3,2.2,57.9,0.579,1.4,3.2,3.5,4.5,0.9,0.5,0.2,0.5,26.6,0.266,102.9,1.029,11.6,25.7,83.2,15,97.8,8016
Arron Afflalo,SG,29,TOT,NBA,2015,78,72,2502,375,884,257,551,118,333,167,198,27,220,247,129,41,7,116,167,1035,0.424,42.4,19.1,0.191,0.466,0.354,0.491,0.843,0.533,62.3,37.7,49.7,25.1,34.2,9.9,16.1,14.3,24.5,54.9,0.549,45.1,95.8,0.958,4.2,0.042,67.7,32.3,4.8,11.3,42.4,1.5,4.3,35.4,3.3,2.1,2.5,84.3,0.843,0.3,2.8,13.3,3.2,1.7,1.5,0.5,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alexis Ajinca,C,26,NOP,NBA,2015,68,8,957,181,329,181,329,0,0,81,99,104,211,315,47,21,51,69,151,443,0.55,55,21.4,0.214,0.55,,0.55,0.818,0.595,100,0,81.7,22.1,0,2,18.3,8.8,59.6,61.3,0.613,38.7,0,0,0,0,61.3,38.7,2.7,4.8,55,0,0,0,2.7,1.2,1.5,81.8,0.818,1.5,3.1,6.5,4.6,0.7,1,0.3,0.8,27.1,0.271,108.2,1.082,11.5,21.8,82.9,13.3,99.4,8147
Furkan Aldemir,PF,23,PHI,NBA,2015,41,9,540,40,78,40,73,0,5,13,27,78,98,176,28,17,16,17,96,93,0.513,51.3,8.4,0.084,0.548,0,0.513,0.481,0.517,93.6,6.4,86,10.8,0,6.5,14,15.1,75.3,45,0.45,55,0,0,0,0,45,55,1,1.9,51.3,0,0.1,0,1,0.3,0.7,48.1,0.481,1.9,2.4,2.3,4.3,0.7,0.4,0.4,0.4,25.5,0.255,95.5,0.955,11.9,23.8,82.6,17.7,92,7542
Cole Aldrich,C,26,NYK,NBA,2015,61,16,976,144,301,144,301,0,0,50,64,101,237,338,75,37,65,59,122,338,0.478,47.8,18.2,0.182,0.478,,0.478,0.781,0.513,100,0,85.2,4.1,0,0.3,14.8,12.4,81.1,65.3,0.653,34.7,0,0,0,0,65.3,34.7,2.4,4.9,47.8,0,0,0,2.4,0.8,1,78.1,0.781,1.7,3.9,5.5,5.5,1.2,1,0.6,1.1,24.5,0.245,99.9,0.999,10.6,19.2,82,14.7,91.9,7535
LaMarcus Aldridge,PF,29,POR,NBA,2015,71,71,2512,659,1415,622,1310,37,105,306,362,177,549,726,124,48,68,122,125,1661,0.466,46.6,30,0.3,0.475,0.352,0.479,0.845,0.528,92.6,7.4,74.9,39.4,6.7,4,18.4,12.2,35.5,46.8,0.468,53.2,91.9,0.919,8.1,0.081,49.3,50.7,9.3,19.9,46.6,0.5,1.5,35.2,8.8,4.3,5.1,84.5,0.845,2.5,7.7,23.4,10.2,1.7,1.7,0.7,1,24.2,0.242,108.2,1.082,10.7,19.4,86,13.6,102.8,8429
Lavoy Allen,PF,25,IND,NBA,2015,63,0,1070,141,299,141,299,0,0,33,47,123,200,323,73,15,42,40,102,315,0.472,47.2,15,0.15,0.472,,0.472,0.702,0.493,100,0,89.5,31.7,0,3.2,10.5,14,57.8,67.4,0.674,32.6,0,0,0,0,67.4,32.6,2.2,4.7,47.2,0,0,0,2.2,0.5,0.7,70.2,0.702,2,3.2,5,5.1,1.2,0.6,0.2,0.7,24,0.24,103.5,1.035,10.4,22.2,83.2,14,97.3,7981
