Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Alex Acker,G,26,TOT,NBA,2009,25,0,199,30,76,23,56,7,20,5,10,8,16,24,12,5,4,7,9,72,0.395,39.5,20.3,0.203,0.411,0.35,0.441,0.5,0.448,73.7,26.3,63.9,44.4,29.2,9.7,6.9,16.7,19.4,47.8,0.478,52.2,71.4,0.714,28.6,0.286,53.3,46.7,1.2,3,39.5,0.3,0.8,35,0.9,0.2,0.4,50,0.5,0.3,0.6,2.9,1,0.5,0.3,0.2,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hassan Adams,SF,24,TOR,NBA,2009,12,0,52,4,13,4,13,0,0,3,6,1,6,7,1,1,1,4,4,11,0.308,30.8,16.1,0.161,0.308,,0.308,0.5,0.352,100,0,72.7,36.4,0,36.4,27.3,18.2,36.4,50,0.5,50,0,0,0,0,50,50,0.3,1.1,30.8,0,0,0,0.3,0.3,0.5,50,0.5,0.1,0.5,0.9,0.6,0.1,0.3,0.1,0.1,24,0.24,107,1.07,9.8,22.7,81.4,13.4,99,8121
Arron Afflalo,SG,23,DET,NBA,2009,74,8,1234,131,300,88,193,43,107,58,71,30,104,134,44,28,13,43,144,363,0.437,43.7,14.3,0.143,0.456,0.402,0.508,0.817,0.548,64.3,35.7,48.5,21.5,35.5,17.4,16,18.7,27,53.4,0.534,46.6,93,0.93,7,0.07,66.4,33.6,1.8,4.1,43.7,0.6,1.4,40.2,1.2,0.8,1,81.7,0.817,0.4,1.4,4.9,1.8,0.6,0.6,0.4,0.2,27.9,0.279,107.4,1.074,11.6,22.5,80,11.9,94.2,7727
Maurice Ager,SF,24,NJN,NBA,2009,20,0,97,15,43,15,37,0,6,4,8,3,7,10,3,1,2,4,17,34,0.349,34.9,24.1,0.241,0.405,0,0.349,0.5,0.365,86,14,88.2,17.6,0,20.6,11.8,17.6,70.6,46.7,0.467,53.3,0,0,0,0,46.7,53.3,0.8,2.2,34.9,0,0.3,0,0.8,0.2,0.4,50,0.5,0.2,0.4,1.7,0.5,0.2,0.2,0.1,0.1,25.2,0.252,108.3,1.083,10.4,24.1,79.7,13.1,98.1,8044
Blake Ahearn,PG,24,SAS,NBA,2009,3,0,19,2,6,0,2,2,4,2,2,0,1,1,2,1,0,1,3,8,0.333,33.3,18.3,0.183,0,0.5,0.5,1,0.581,33.3,66.7,0,0,75,0,25,25,0,0,0,0,100,1,0,0,100,0,0.7,2,33.3,0.7,1.3,50,0,0.7,0.7,100,1,0,0.3,2.7,0.3,0.7,0.3,0.3,0,22.1,0.221,108.5,1.085,8.9,20,79.7,11.7,97,7958
Alexis Ajinca,C,20,CHA,NBA,2009,31,4,182,25,69,25,67,0,2,20,28,9,21,30,3,7,6,12,34,70,0.362,36.2,25,0.25,0.373,0,0.362,0.714,0.43,97.1,2.9,71.4,45.7,0,0,28.6,18.6,25.7,72,0.72,28,0,0,0,0,72,28,0.8,2.2,36.2,0,0.1,0,0.8,0.6,0.9,71.4,0.714,0.3,0.7,2.3,1,0.1,0.4,0.2,0.2,27.7,0.277,104.7,1.047,10.8,24,76.8,15.6,93.6,7677
LaMarcus Aldridge,PF,23,POR,NBA,2009,81,81,3004,601,1243,594,1215,7,28,261,334,234,371,605,157,77,77,121,207,1470,0.484,48.4,23.7,0.237,0.489,0.25,0.486,0.781,0.529,97.7,2.3,80.8,36.1,1.4,9.3,17.8,15.4,44.8,56.7,0.567,43.3,100,1,0,0,57.2,42.8,7.4,15.3,48.4,0.1,0.3,25,7.3,3.2,4.1,78.1,0.781,2.9,4.6,18.1,7.5,1.9,1.5,1,1,32.6,0.326,113.9,1.139,12.9,24.2,79.2,12.9,99.4,8153
Joe Alexander,SF,22,MIL,NBA,2009,59,0,716,102,245,86,199,16,46,58,83,44,71,115,42,15,29,52,107,278,0.416,41.6,20.1,0.201,0.432,0.348,0.449,0.699,0.494,81.2,18.8,61.9,24.5,17.3,15.1,20.9,17.6,37.4,70.9,0.709,29.1,93.8,0.938,6.3,0.063,74.5,25.5,1.7,4.2,41.6,0.3,0.8,34.8,1.5,1,1.4,69.9,0.699,0.7,1.2,4.7,1.9,0.7,0.9,0.3,0.5,27.8,0.278,106.7,1.067,11.9,25.2,82.4,14.1,99.3,8142
Malik Allen,PF,30,MIL,NBA,2009,49,3,579,73,170,73,169,0,1,10,21,35,68,103,35,7,12,20,89,156,0.429,42.9,15.8,0.158,0.432,0,0.429,0.476,0.435,99.4,0.6,93.6,70.5,0,3.8,6.4,13.5,23.1,75.3,0.753,24.7,0,0,0,0,75.3,24.7,1.5,3.5,42.9,0,0,0,1.5,0.2,0.4,47.6,0.476,0.7,1.4,3.2,2.1,0.7,0.4,0.1,0.2,27.8,0.278,106.7,1.067,11.9,25.2,82.4,14.1,99.3,8142
Ray Allen,SG,33,BOS,NBA,2009,79,79,2876,499,1040,300,554,199,486,237,249,66,212,278,218,69,13,134,157,1434,0.48,48,20.9,0.209,0.542,0.409,0.575,0.952,0.624,53.3,46.7,41.8,17.2,41.6,13.8,16.5,16,24.7,54,0.54,46,92.5,0.925,7.5,0.075,69.3,30.7,6.3,13.2,48,2.5,6.2,40.9,3.8,3,3.2,95.2,0.952,0.8,2.7,18.2,3.5,2.8,1.7,0.9,0.2,27.9,0.279,110.5,1.105,10.6,25.3,77.2,15.6,100.9,8275
