Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Tariq Wahad,#N/A,28,DAL,NBA,2003,14,0,204,27,58,27,57,0,1,3,6,14,26,40,21,6,3,7,26,57,0.466,46.6,#N/A,#N/A,0.474,0,0.466,0.5,0.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.4,0.254,110.7,1.107,11.2,24.3,84.5,12.1,105.2,8629
Shareef Rahim,#N/A,26,ATL,NBA,2003,81,81,3087,566,1183,545,1123,21,60,455,541,175,502,677,242,87,38,212,240,1608,0.478,47.8,#N/A,#N/A,0.485,0.35,0.487,0.841,0.566,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.9,0.279,102.3,1.023,11.6,23.7,80.6,15.5,94,7711
Courtney Alexander,SG,25,NOH,NBA,2003,66,7,1360,193,505,174,448,19,57,118,146,39,79,118,79,31,6,68,125,523,0.382,38.2,21.4,0.214,0.388,0.333,0.401,0.808,0.459,88.7,11.3,66.5,38.2,10.9,16.8,22.6,22.2,28.3,74.7,0.747,25.3,100,1,0,0,77.2,22.8,2.9,7.7,38.2,0.3,0.9,33.3,2.6,1.8,2.2,80.8,0.808,0.6,1.2,7.9,1.8,1.2,1,0.5,0.1,31.7,0.317,103.9,1.039,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malik Allen,PF,24,MIA,NBA,2003,80,73,2318,335,790,335,786,0,4,97,121,134,291,425,54,37,78,128,234,767,0.424,42.4,19.8,0.198,0.426,0,0.424,0.802,0.455,99.5,0.5,87.4,50.6,0,3,12.6,15.9,36.8,63.9,0.639,36.1,0,0,0,0,63.9,36.1,4.2,9.9,42.4,0,0.1,0,4.2,1.2,1.5,80.2,0.802,1.7,3.6,9.6,5.3,0.7,1.6,0.5,1,26.8,0.268,96.7,0.967,11,20.8,77.8,14.8,87.2,7150
Ray Allen,SG,27,TOT,NBA,2003,76,75,2880,598,1363,397,830,201,533,316,345,94,287,381,334,103,14,198,220,1713,0.439,43.9,28,0.28,0.478,0.377,0.512,0.916,0.565,60.9,39.1,46.4,20.4,35.2,13.4,18.4,18.2,25.9,32.7,0.327,67.3,79.6,0.796,20.4,0.204,48.5,51.5,7.9,17.9,43.9,2.6,7,37.7,5.2,4.2,4.5,91.6,0.916,1.2,3.8,22.5,5,4.4,2.6,1.4,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rafer Alston,PG,26,TOR,NBA,2003,47,4,980,139,335,88,205,51,130,37,54,21,86,107,192,38,15,86,120,366,0.415,41.5,20.6,0.206,0.429,0.392,0.491,0.685,0.51,61.2,38.8,48.1,18.6,41.8,15,10.1,11.2,29.5,14.8,0.148,85.2,90.2,0.902,9.8,0.098,42.4,57.6,3,7.1,41.5,1.1,2.8,39.2,1.9,0.8,1.1,68.5,0.685,0.4,1.8,7.8,2.3,4.1,1.8,0.8,0.3,28.2,0.282,100.5,1.005,13.6,20.9,82,14.3,91.4,7494
John Amaechi,PF,32,UTA,NBA,2003,50,1,474,37,118,37,118,0,0,25,52,26,51,77,21,14,7,34,50,99,0.314,31.4,16.9,0.169,0.314,,0.314,0.481,0.351,100,0,74.7,12.1,0,7.1,25.3,17.2,62.6,64.9,0.649,35.1,0,0,0,0,64.9,35.1,0.7,2.4,31.4,0,0,0,0.7,0.5,1,48.1,0.481,0.5,1,2,1.5,0.4,0.7,0.3,0.1,32.5,0.325,105.5,1.055,13.5,29.6,77.7,16.5,96,7871
Chris Andersen,PF,24,DEN,NBA,2003,59,3,907,114,285,114,284,0,1,77,140,109,165,274,32,30,60,60,90,305,0.4,40,19.4,0.194,0.401,0,0.4,0.55,0.44,99.6,0.4,74.8,9.8,0,8.2,25.2,20.3,64.9,61.4,0.614,38.6,0,0,0,0,61.4,38.6,1.9,4.8,40,0,0,0,1.9,1.3,2.4,55,0.55,1.8,2.8,5.2,4.6,0.5,1,0.5,1,31.3,0.313,92.2,0.922,13.6,21.4,83.8,14.7,92.2,7559
Derek Anderson,SG,28,POR,NBA,2003,76,76,2556,355,832,239,501,116,331,231,269,53,211,264,325,90,16,128,141,1057,0.427,42.7,19.4,0.194,0.477,0.35,0.496,0.859,0.556,60.2,39.8,45.2,18.9,32.9,14.2,21.9,19.5,26.3,54.4,0.544,45.6,87.1,0.871,12.9,0.129,65.1,34.9,4.7,10.9,42.7,1.5,4.4,35,3.1,3,3.5,85.9,0.859,0.7,2.8,13.9,3.5,4.3,1.7,1.2,0.2,30.2,0.302,105.5,1.055,13.2,23.2,81.4,14.3,96.6,7925
Kenny Anderson,PG,32,TOT,NBA,2003,61,2,1135,163,382,162,375,1,7,45,57,31,101,132,198,58,5,75,106,372,0.427,42.7,19.5,0.195,0.432,0.143,0.428,0.789,0.457,98.2,1.8,87.1,40.3,0.8,14.8,12.1,18.5,46.8,53.1,0.531,46.9,100,1,0,0,53.4,46.6,2.7,6.3,42.7,0,0.1,14.3,2.7,0.7,0.9,78.9,0.789,0.5,1.7,6.1,2.2,3.2,1.2,1,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
