Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Shareef Rahim,#N/A,27,TOT,NBA,2004,85,56,2684,501,1054,492,1020,9,34,373,429,189,450,639,174,68,37,184,222,1384,0.475,47.5,#N/A,#N/A,0.482,0.265,0.48,0.869,0.557,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malik Allen,PF,25,MIA,NBA,2004,45,6,616,83,198,83,198,0,0,25,33,42,77,119,16,12,28,27,81,191,0.419,41.9,18.7,0.187,0.419,,0.419,0.758,0.449,100,0,86.9,57.6,0,6.3,13.1,15.2,29.3,67.5,0.675,32.5,0,0,0,0,67.5,32.5,1.8,4.4,41.9,0,0,0,1.8,0.6,0.7,75.8,0.758,0.9,1.7,4.2,2.6,0.4,0.6,0.3,0.6,27.4,0.274,102.2,1.022,11.5,23.4,78.3,13.9,90.3,7402
Ray Allen,SG,28,SEA,NBA,2004,56,56,2152,447,1017,299,639,148,378,245,271,69,217,286,268,71,11,156,132,1287,0.44,44,27.8,0.278,0.468,0.392,0.512,0.904,0.566,62.8,37.2,46.5,17.9,34.5,14.3,19,19,28.6,37.1,0.371,62.9,79.7,0.797,20.3,0.203,51.2,48.8,8,18.2,44,2.6,6.8,39.2,5.3,4.4,4.8,90.4,0.904,1.2,3.9,23,5.1,4.8,2.8,1.3,0.2,27.2,0.272,107.3,1.073,11.1,21.7,80.4,14.5,97.1,7964
Rafer Alston,PG,27,MIA,NBA,2004,82,28,2581,287,764,126,330,161,434,103,134,26,200,226,372,114,18,128,212,838,0.376,37.6,17.4,0.174,0.382,0.371,0.481,0.769,0.509,43.2,56.8,30.1,8.8,57.6,16.5,12.3,17.1,21.2,21.4,0.214,78.6,85.1,0.851,14.9,0.149,57.1,42.9,3.5,9.3,37.6,2,5.3,37.1,1.5,1.3,1.6,76.9,0.769,0.3,2.4,10.2,2.8,4.5,1.6,1.4,0.2,27.4,0.274,102.2,1.022,11.5,23.4,78.3,13.9,90.3,7402
Chris Andersen,PF,25,DEN,NBA,2004,71,0,1029,90,203,90,202,0,1,63,107,89,209,298,35,34,114,48,119,243,0.443,44.3,12.8,0.128,0.446,0,0.443,0.589,0.486,99.5,0.5,74.1,18.1,0,21.4,25.9,18.5,56,67.8,0.678,32.2,0,0,0,0,67.8,32.2,1.3,2.9,44.3,0,0,0,1.3,0.9,1.5,58.9,0.589,1.3,2.9,3.4,4.2,0.5,0.7,0.5,1.6,30.5,0.305,103.9,1.039,13.2,26.3,82.5,15.6,97.2,7972
Derek Anderson,SG,29,POR,NBA,2004,51,46,1810,230,612,151,353,79,259,155,188,26,156,182,228,66,3,90,79,694,0.376,37.6,20.6,0.206,0.428,0.305,0.44,0.824,0.499,57.7,42.3,43.5,25.9,34.1,9.2,22.3,19.6,17.6,55,0.55,45,83.5,0.835,16.5,0.165,64.8,35.2,4.5,12,37.6,1.5,5.1,30.5,3,3,3.7,82.4,0.824,0.5,3.1,13.6,3.6,4.5,1.8,1.3,0.1,31.2,0.312,103.7,1.037,12.7,21.1,78.9,14.8,90.7,7440
Kenny Anderson,PG,33,IND,NBA,2004,44,31,905,113,256,112,252,1,4,35,48,19,62,81,125,26,5,50,73,262,0.441,44.1,16.6,0.166,0.444,0.25,0.443,0.729,0.473,98.4,1.6,85.5,34.4,1.1,11.8,13.4,22.9,51.1,58,0.58,42,100,1,0,0,58.4,41.6,2.6,5.8,44.1,0,0.1,25,2.5,0.8,1.1,72.9,0.729,0.4,1.4,6,1.8,2.8,1.1,0.6,0.1,28.5,0.285,103.8,1.038,11.8,24.6,77.1,14.4,91.4,7493
Shandon Anderson,SF,30,NYK,NBA,2004,80,37,1974,238,564,202,436,36,128,123,161,53,169,222,122,68,17,118,182,635,0.422,42.2,17.7,0.177,0.463,0.281,0.454,0.764,0.5,77.3,22.7,63.6,17.3,17,21.6,19.4,18.4,46.3,62.4,0.624,37.6,97.2,0.972,2.8,0.028,67.6,32.4,3,7.1,42.2,0.5,1.6,28.1,2.5,1.5,2,76.4,0.764,0.7,2.1,7.9,2.8,1.5,1.5,0.9,0.2,28,0.28,101.7,1.017,11.6,21.1,79.4,15.7,92,7542
Carmelo Anthony,SF,19,DEN,NBA,2004,82,82,2995,624,1465,555,1251,69,214,408,525,183,315,498,227,97,41,247,225,1725,0.426,42.6,28.3,0.283,0.444,0.322,0.449,0.777,0.509,85.4,14.6,64.3,19.9,12,22.5,23.7,19.1,44.4,52.8,0.528,47.2,76.8,0.768,23.2,0.232,55.4,44.6,7.6,17.9,42.6,0.8,2.6,32.2,6.8,5,6.4,77.7,0.777,2.2,3.8,21,6.1,2.8,3,1.2,0.5,30.5,0.305,103.9,1.039,13.2,26.3,82.5,15.6,97.2,7972
Robert Archibald,PF,23,TOT,NBA,2004,32,3,256,9,33,9,33,0,0,14,31,21,31,52,13,14,3,10,50,32,0.273,27.3,10.3,0.103,0.273,,0.273,0.452,0.343,100,0,56.3,6.3,0,0,43.8,21.9,50,44.4,0.444,55.6,0,0,0,0,44.4,55.6,0.3,1,27.3,0,0,0,0.3,0.4,1,45.2,0.452,0.7,1,1,1.6,0.4,0.3,0.4,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gilbert Arenas,PG,22,WAS,NBA,2004,55,52,2066,358,914,233,581,125,333,237,317,55,199,254,275,103,12,226,176,1078,0.392,39.2,26.8,0.268,0.401,0.375,0.46,0.748,0.512,63.6,36.4,43.2,17.3,34.8,14.7,22,19.6,26,26.2,0.262,73.8,76,0.76,24,0.24,43.6,56.4,6.5,16.6,39.2,2.3,6.1,37.5,4.2,4.3,5.8,74.8,0.748,1,3.6,19.6,4.6,5,4.1,1.9,0.2,30.7,0.307,98.8,0.988,13.6,27,80,17.5,91.8,7528
