Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Arron Afflalo,SG,24,DEN,NBA,2010,82,75,2221,272,585,164,336,108,249,72,98,59,193,252,138,46,30,74,225,724,0.465,46.5,14.1,0.141,0.488,0.434,0.557,0.735,0.576,57.4,42.6,45.3,17.7,44.8,16.9,9.9,20.3,27.6,54.3,0.543,45.7,97.2,0.972,2.8,0.028,71.3,28.7,3.3,7.1,46.5,1.3,3,43.4,2,0.9,1.2,73.5,0.735,0.7,2.4,8.8,3.1,1.7,0.9,0.6,0.4,26.1,0.261,111.8,1.118,10.8,30.6,81.4,13.9,106.5,8729
Alexis Ajinca,C,21,CHA,NBA,2010,6,0,30,5,10,5,10,0,0,0,1,1,3,4,0,1,1,2,5,10,0.5,50,19.3,0.193,0.5,,0.5,0,0.479,100,0,100,20,0,20,0,20,80,80,0.8,20,0,0,0,0,80,20,0.8,1.7,50,0,0,0,0.8,0,0.2,0,0,0.2,0.5,1.7,0.7,0,0.3,0.2,0.2,26.5,0.265,104.4,1.044,10.5,26.6,76.9,15.7,95.3,7813
LaMarcus Aldridge,PF,24,POR,NBA,2010,78,78,2922,579,1169,574,1153,5,16,230,304,192,435,627,160,67,48,104,231,1393,0.495,49.5,23.1,0.231,0.498,0.313,0.497,0.757,0.535,98.6,1.4,82.4,37.8,1.1,9,16.5,17.6,44.7,57,0.57,43,100,1,0,0,57.3,42.7,7.4,15,49.5,0.1,0.2,31.3,7.4,2.9,3.9,75.7,0.757,2.5,5.6,17.9,8,2.1,1.3,0.9,0.6,28.2,0.282,110.8,1.108,11.1,24.8,78.7,12.3,98.1,8045
Joe Alexander,SF,23,CHI,NBA,2010,8,0,29,1,6,1,5,0,1,2,3,2,3,5,2,1,1,0,9,4,0.167,16.7,10.2,0.102,0.2,0,0.167,0.667,0.273,83.3,16.7,50,0,0,0,50,0,50,0,0,100,0,0,0,0,0,100,0.1,0.8,16.7,0,0.1,0,0.1,0.3,0.4,66.7,0.667,0.3,0.4,0.5,0.6,0.3,0,0.1,0.1,26.6,0.266,103.5,1.035,11.4,23.9,83.2,14.3,97.5,7993
Malik Allen,PF,31,DEN,NBA,2010,51,3,456,46,116,45,110,1,6,12,13,36,46,82,16,11,5,22,68,105,0.397,39.7,14.5,0.145,0.409,0.167,0.401,0.923,0.431,94.8,5.2,85.7,64.8,2.9,2.9,11.4,15.2,21,62.2,0.622,37.8,100,1,0,0,63,37,0.9,2.3,39.7,0,0.1,16.7,0.9,0.2,0.3,92.3,0.923,0.7,0.9,2.1,1.6,0.3,0.4,0.2,0.1,26.1,0.261,111.8,1.118,10.8,30.6,81.4,13.9,106.5,8729
Ray Allen,SG,34,BOS,NBA,2010,80,80,2819,464,973,319,574,145,399,231,253,45,208,253,210,64,25,129,182,1304,0.477,47.7,20.1,0.201,0.556,0.363,0.551,0.913,0.601,59,41,48.9,18.4,33.4,16.9,17.7,16.6,30.5,64.3,0.643,35.7,91.7,0.917,8.3,0.083,72.8,27.2,5.8,12.2,47.7,1.8,5,36.3,4,2.9,3.2,91.3,0.913,0.6,2.6,16.3,3.2,2.6,1.6,0.8,0.3,22.8,0.228,107.7,1.077,8.7,25.5,76.8,14.9,99.2,8136
Tony Allen,SG,28,BOS,NBA,2010,54,8,889,129,253,129,248,0,5,72,119,52,93,145,72,59,19,66,109,330,0.51,51,19.4,0.194,0.52,0,0.51,0.605,0.54,98,2,78.2,6.1,0,27.3,21.8,31.8,72.1,62.8,0.628,37.2,0,0,0,0,62.8,37.2,2.4,4.7,51,0,0.1,0,2.4,1.3,2.2,60.5,0.605,1,1.7,6.1,2.7,1.3,1.2,1.1,0.4,22.8,0.228,107.7,1.077,8.7,25.5,76.8,14.9,99.2,8136
Rafer Alston,PG,33,TOT,NBA,2010,52,38,1421,155,446,97,278,58,168,59,81,13,116,129,176,50,10,95,103,427,0.348,34.8,18.5,0.185,0.349,0.345,0.413,0.728,0.443,62.3,37.7,45.4,12.6,40.7,14.5,13.8,16.6,32.8,12.4,0.124,87.6,82.8,0.828,17.2,0.172,38.7,61.3,3,8.6,34.8,1.1,3.2,34.5,1.9,1.1,1.6,72.8,0.728,0.3,2.2,8.2,2.5,3.4,1.8,1,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lou Amundson,PF,27,PHO,NBA,2010,79,0,1168,152,276,152,275,0,1,67,123,128,218,346,31,24,73,57,169,371,0.551,55.1,14.7,0.147,0.553,0,0.551,0.545,0.562,99.6,0.4,81.9,5.4,0,8.1,18.1,14,76.5,69.7,0.697,30.3,0,0,0,0,69.7,30.3,1.9,3.5,55.1,0,0,0,1.9,0.8,1.6,54.5,0.545,1.6,2.8,4.7,4.4,0.4,0.7,0.3,0.9,27.6,0.276,115.3,1.153,11.1,25.8,82.8,14.8,110.2,9039
Chris Andersen,PF,31,DEN,NBA,2010,76,0,1695,142,251,142,248,0,3,164,236,147,336,483,33,42,143,59,171,448,0.566,56.6,10.7,0.107,0.573,0,0.566,0.695,0.631,98.8,1.2,63.4,6.7,0,5.6,36.6,13.4,56.7,71.1,0.711,28.9,0,0,0,0,71.1,28.9,1.9,3.3,56.6,0,0,0,1.9,2.2,3.1,69.5,0.695,1.9,4.4,5.9,6.4,0.4,0.8,0.6,1.9,26.1,0.261,111.8,1.118,10.8,30.6,81.4,13.9,106.5,8729
