Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Mahmoud Abdul-Rauf,G,31,VAN,NBA,2001,41,0,486,120,246,116,232,4,14,22,29,5,20,25,76,9,1,26,50,266,0.488,48.8,26.9,0.269,0.5,0.286,0.496,0.759,0.514,94.3,5.7,87.2,78.2,4.5,5.6,8.3,21.4,9,54.3,0.543,45.7,50,0.5,50,0.5,54.2,45.8,2.9,6,0.488,0.1,0,0.286,2.8,0.5,0.7,75.9,0.759,0.1,0.5,6.5,0.6,1.9,0.6,0.22,0.02,26.1,0.261,99.6,0.996,10.9,23.1,79.7,15.7,91.7,7522
Tariq Abdul-Wahad,SF,26,DEN,NBA,2001,29,12,420,43,111,39,101,4,10,21,36,14,45,59,22,14,13,34,54,111,0.387,38.7,17,0.17,0.386,0.4,0.405,0.583,0.438,91,9,70.3,30.6,10.8,20.7,18.9,27.9,39.6,64.1,0.641,35.9,100,1,0,0,67.4,32.6,1.5,3.8,0.387,0.1,0,0.4,1.3,0.7,1.2,58.3,0.583,0.5,1.6,3.8,2,0.8,1.2,0.48,0.45,28.3,0.283,103.7,1.037,12.7,24,83.9,13.9,96.6,7918
Shareef Abdur-Rahim,PF,24,VAN,NBA,2001,81,81,3241,604,1280,592,1216,12,64,443,531,175,560,735,250,90,77,231,238,1663,0.472,47.2,24.5,0.245,0.487,0.188,0.477,0.834,0.549,95,5,71.2,26,2.2,12.7,26.6,14.3,45.2,67.2,0.672,32.8,91.7,0.917,8.3,0.083,67.7,32.3,7.5,15.8,0.472,0.1,1,0.188,7.3,5.5,6.6,83.4,0.834,2.2,6.9,20.5,9.1,3.1,2.9,1.11,0.95,26.1,0.261,99.6,0.996,10.9,23.1,79.7,15.7,91.7,7522
Cory Alexander,PG,27,ORL,NBA,2001,26,0,227,18,56,14,40,4,16,12,18,0,25,25,36,16,0,25,29,52,0.321,32.1,17.8,0.178,0.35,0.25,0.357,0.667,0.407,71.4,28.6,53.8,34.6,23.1,0,23.1,26.9,19.2,28.6,0.286,71.4,100,1,0,0,44.4,55.6,0.7,2.2,0.321,0.2,1,0.25,0.5,0.5,0.7,66.7,0.667,0,1,2,1,1.4,1,0.62,0,29.1,0.291,103.2,1.032,13,25.2,83.8,15.2,97.5,7992
Courtney Alexander,SG,23,DAL,NBA,2001,65,24,1382,239,573,222,527,17,46,123,150,42,101,143,62,45,5,75,139,618,0.417,41.7,23.2,0.232,0.421,0.37,0.432,0.82,0.484,92,8,71.8,46.6,8.3,11.2,19.9,18.9,25.2,58.1,0.581,41.9,58.8,0.588,41.2,0.412,58.2,41.8,3.7,8.8,0.417,0.3,1,0.37,3.4,1.9,2.3,82,0.82,0.6,1.6,9.5,2.2,1,1.2,0.69,0.08,24.1,0.241,107.1,1.071,10.1,23.8,81.9,13.9,100.5,8239
Ray Allen,SG,25,MIL,NBA,2001,82,82,3129,628,1309,426,842,202,467,348,392,101,327,428,374,124,20,204,192,1806,0.48,48,24.2,0.242,0.506,0.433,0.557,0.888,0.61,64.3,35.7,47.2,17.7,33.6,17.2,19.3,17.8,29.5,43.7,0.437,56.3,85.6,0.856,14.4,0.144,57.2,42.8,7.7,16,0.48,2.5,6,0.433,5.2,4.2,4.8,88.8,0.888,1.2,4,22,5.2,4.6,2.5,1.51,0.24,28.1,0.281,108.8,1.088,11.9,22.9,82.9,13.7,100.7,8260
Rafer Alston,PG,24,MIL,NBA,2001,37,2,288,30,84,22,54,8,30,9,13,4,27,31,68,13,0,20,27,77,0.357,35.7,17.8,0.178,0.407,0.267,0.405,0.692,0.429,64.3,35.7,57.1,26,31.2,19.5,11.7,15.6,31.2,45.5,0.455,54.5,100,1,0,0,60,40,0.8,2.3,0.357,0.2,1,0.267,0.6,0.2,0.4,69.2,0.692,0.1,0.7,2.1,0.8,1.8,0.5,0.35,0,28.1,0.281,108.8,1.088,11.9,22.9,82.9,13.7,100.7,8260
John Amaechi,PF,30,ORL,NBA,2001,82,36,1710,237,592,237,585,0,7,176,279,77,191,268,74,28,29,124,175,650,0.4,40,21.9,0.219,0.405,0,0.4,0.631,0.455,98.8,1.2,72.9,21.2,0,8.6,27.1,15.2,51.7,51.9,0.519,48.1,0,0,0,0,51.9,48.1,2.9,7.2,0.4,0,0,0,2.9,2.1,3.4,63.1,0.631,0.9,2.3,7.9,3.3,0.9,1.5,0.34,0.35,29.1,0.291,103.2,1.032,13,25.2,83.8,15.2,97.5,7992
Derek Anderson,SG,26,SAS,NBA,2001,82,82,2859,413,993,312,740,101,253,342,402,75,288,363,301,120,14,165,188,1269,0.416,41.6,21.8,0.218,0.422,0.399,0.467,0.851,0.542,74.5,25.5,49.2,22.7,23.9,15.9,27,19.2,26.5,52.9,0.529,47.1,87.1,0.871,12.9,0.129,61.3,38.7,5,12.1,0.416,1.2,3,0.399,3.8,4.2,4.9,85.1,0.851,0.9,3.5,15.5,4.4,3.7,2,1.46,0.17,27.1,0.271,106.6,1.066,11,28.5,76.4,14,96.2,7886
Kenny Anderson,PG,30,BOS,NBA,2001,33,28,849,88,227,77,194,11,33,59,71,16,57,73,134,44,2,52,62,246,0.388,38.8,16.4,0.164,0.397,0.333,0.412,0.831,0.476,85.5,14.5,62.6,23.6,13.4,20.7,24,22.8,39,39,0.39,61,81.8,0.818,18.2,0.182,44.3,55.7,2.7,6.9,0.388,0.3,1,0.333,2.3,1.8,2.2,83.1,0.831,0.5,1.7,7.5,2.2,4.1,1.6,1.33,0.06,25.3,0.253,101.4,1.014,10.9,26.7,79.1,15.7,94.6,7759
