Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Jeff Adrien,SF,24,GSW,NBA,2011,23,0,196,23,54,23,54,0,0,11,19,23,35,58,10,4,5,9,28,57,0.426,42.6,16.3,0.163,0.426,,0.426,0.579,0.457,100,0,80.7,3.5,0,0,19.3,21.1,77.2,69.6,0.696,30.4,0,0,0,0,69.6,30.4,1,2.3,42.6,0,0,0,1,0.5,0.8,57.9,0.579,1,1.5,2.5,2.5,0.4,0.4,0.2,0.2,26.7,0.267,108.2,1.082,11.6,20.7,85.9,14.6,14.6,8477
Arron Afflalo,SG,25,DEN,NBA,2011,69,69,2324,312,627,207,379,105,248,138,163,45,206,251,168,34,31,71,153,867,0.498,49.8,15,0.15,0.546,0.423,0.581,0.847,0.62,60.4,39.6,47.8,13.4,36.3,18.7,15.9,16.6,34.4,56.5,0.565,43.5,100,1,0,0,71.2,28.8,4.5,9.1,49.8,1.5,3.6,42.3,3,2,2.4,84.7,0.847,0.7,3,12.6,3.6,2.4,1,0.5,0.4,23.9,0.239,112.3,1.123,9.6,29.6,80.6,14.1,14.1,8811
Maurice Ager,SF,26,MIN,NBA,2011,4,0,29,6,11,3,7,3,4,0,0,0,2,2,1,1,0,4,4,15,0.545,54.5,21.6,0.216,0.429,0.75,0.682,,0.682,63.6,36.4,40,13.3,60,46.7,0,0,26.7,0,0,100,33.3,0.333,66.7,0.667,16.7,83.3,1.5,2.8,54.5,0.8,1,75,0.8,0,0,0,0,0,0.5,3.8,0.5,0.3,1,0.3,0,29.6,0.296,104.2,1.042,13.2,24.1,85.5,17,17,8288
Alexis Ajinca,C,22,TOT,NBA,2011,34,2,340,59,133,47,99,12,34,13,18,17,61,78,10,11,19,18,73,143,0.444,44.4,21.2,0.212,0.475,0.353,0.489,0.722,0.507,74.4,25.6,65.7,30.8,25.2,7,9.1,7,35,66,0.66,34,100,1,0,0,72.9,27.1,1.7,3.9,44.4,0.4,1,35.3,1.4,0.4,0.5,72.2,0.722,0.5,1.8,4.2,2.3,0.3,0.5,0.3,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Solomon Alabi,C,22,TOR,NBA,2011,12,0,59,3,15,3,15,0,0,0,2,7,7,14,2,2,2,3,5,6,0.2,20,13.8,0.138,0.2,,0.2,0,0.189,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0.3,1.3,20,0,0,0,0.3,0,0.2,0,0,0.6,0.6,0.5,1.2,0.2,0.3,0.2,0.2,28.2,0.282,106.1,1.061,11.7,24.1,82.4,14.7,14.7,8124
Cole Aldrich,C,22,OKC,NBA,2011,18,0,142,8,15,8,15,0,0,2,4,13,22,35,4,5,7,8,30,18,0.533,53.3,8.2,0.082,0.533,,0.533,0.5,0.537,100,0,88.9,0,0,0,11.1,0,88.9,37.5,0.375,62.5,0,0,0,0,37.5,62.5,0.4,0.8,53.3,0,0,0,0.4,0.1,0.2,50,0.5,0.7,1.2,1,1.9,0.2,0.4,0.3,0.4,27.4,0.274,111.2,1.112,11,29.3,80.6,14.1,14.1,8596
LaMarcus Aldridge,PF,25,POR,NBA,2011,81,81,3211,707,1415,703,1392,4,23,351,444,278,431,709,170,82,94,153,220,1769,0.5,50,25.8,0.258,0.505,0.174,0.501,0.791,0.549,98.4,1.6,79.5,26.2,0.7,6.3,19.8,17.5,53.3,54.6,0.546,45.4,75,0.75,25,0.25,54.7,45.3,8.7,17.5,50,0,0.3,17.4,8.7,4.3,5.5,79.1,0.791,3.4,5.3,21.8,8.8,2.1,1.9,1,1.2,29.5,0.295,108.8,1.088,12.1,22.4,80.5,13,13,7896
Malik Allen,PF,32,ORL,NBA,2011,18,0,178,11,31,11,31,0,0,1,2,12,20,32,4,1,4,3,30,23,0.355,35.5,9,0.09,0.355,,0.355,0.5,0.361,100,0,95.7,34.8,0,8.7,4.3,0,60.9,63.6,0.636,36.4,0,0,0,0,63.6,36.4,0.6,1.7,35.5,0,0,0,0.6,0.1,0.1,50,0.5,0.7,1.1,1.3,1.8,0.2,0.2,0.1,0.2,26.1,0.261,107.9,1.079,10.5,25.6,78.2,14.9,14.9,8135
Ray Allen,SG,35,BOS,NBA,2011,80,80,2890,480,978,312,600,168,378,193,219,51,223,274,219,77,16,117,147,1321,0.491,49.1,19.8,0.198,0.52,0.444,0.577,0.881,0.615,61.3,38.7,47.2,21.8,38.2,16,14.6,19.6,25.4,62.2,0.622,37.8,95.8,0.958,4.2,0.042,74,26,6,12.2,49.1,2.1,4.7,44.4,3.9,2.4,2.7,88.1,0.881,0.6,2.8,16.5,3.4,2.7,1.5,1,0.2,21.1,0.211,106.2,1.062,7.8,23.1,75.8,14.6,14.6,7913
Tony Allen,SG,29,MEM,NBA,2011,72,31,1494,251,492,247,469,4,23,137,182,70,123,193,104,129,44,86,161,643,0.51,51,20,0.2,0.527,0.174,0.514,0.753,0.562,95.3,4.7,76.8,7.5,1.9,40.3,21.3,36.5,69.4,57.5,0.575,42.5,100,1,0,0,58.2,41.8,3.5,6.8,51,0.1,0.3,17.4,3.4,1.9,2.5,75.3,0.753,1,1.7,8.9,2.7,1.4,1.2,1.8,0.6,28.9,0.289,107.6,1.076,11.8,24.2,82.9,14,14,8195
