Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Al Jefferson,C,22,BOS,NBA,2007,69,60,2319,453,882,453,881,0,1,201,295,237,519,756,88,48,106,136,232,1107,0.514,51.4,22.8,0.228,0.514,0,0.514,0.681,0.547,99.9,0.1,81.8,11,0,3.2,18.2,11.7,70.8,52.1,0.521,47.9,0,0,0,0,52.1,47.9,6.6,12.8,51.4,0,0,0,6.6,2.9,4.3,68.1,0.681,3.4,7.5,16,11,1.3,2,0.7,1.5,27,0.27,103.2,1.032,11.2,26.6,78.7,16.5,95.8,7857
Richard Jefferson,SF,26,NJN,NBA,2007,55,53,1956,303,665,251,520,52,145,239,326,48,192,240,148,34,8,120,123,897,0.456,45.6,22,0.22,0.483,0.359,0.495,0.733,0.555,78.2,21.8,56,19.6,17.4,17.3,26.6,13.3,36.3,68.1,0.681,31.9,96.2,0.962,3.8,0.038,72.9,27.1,5.5,12.1,45.6,0.9,2.6,35.9,4.6,4.3,5.9,73.3,0.733,0.9,3.5,16.3,4.4,2.7,2.2,0.6,0.1,24.6,0.246,105.7,1.057,10,26.3,77.8,14.8,97.6,8001
Jared Jeffries,PF,25,NYK,NBA,2007,55,43,1307,95,206,93,186,2,20,31,68,111,127,238,67,44,30,61,150,223,0.461,46.1,10.5,0.105,0.5,0.1,0.466,0.456,0.473,90.3,9.7,83.4,17.9,2.7,10.3,13.9,14.8,65.5,53.8,0.538,46.2,100,1,0,0,54.7,45.3,1.7,3.7,46.1,0,0.4,10,1.7,0.6,1.2,45.6,0.456,2,2.3,4.1,4.3,1.2,1.1,0.8,0.5,31,0.31,105.7,1.057,12.6,29.2,77.5,17.1,97.5,7994
Alexander Johnson,SF,23,MEM,NBA,2007,59,19,753,91,169,91,169,0,0,78,118,50,131,181,17,25,35,47,137,260,0.538,53.8,16.1,0.161,0.538,,0.538,0.661,0.588,100,0,70,7.7,0,8.1,30,16.5,62.3,62.6,0.626,37.4,0,0,0,0,62.6,37.4,1.5,2.9,53.8,0,0,0,1.5,1.3,2,66.1,0.661,0.8,2.2,4.4,3.1,0.3,0.8,0.4,0.6,25.9,0.259,106.9,1.069,10.6,29.4,78.6,16.4,101.6,8331
Amir Johnson,PF,19,DET,NBA,2007,8,0,124,18,33,18,30,0,3,11,14,15,22,37,3,5,13,9,19,47,0.545,54.5,17.6,0.176,0.6,0,0.545,0.786,0.6,90.9,9.1,76.6,0,0,19.1,23.4,27.7,76.6,50,0.5,50,0,0,0,0,50,50,2.3,4.1,54.5,0,0.4,0,2.3,1.4,1.8,78.6,0.786,1.9,2.8,5.9,4.6,0.4,1.1,0.6,1.6,28.3,0.283,108.9,1.089,11.6,24.2,79.1,12.2,96,7872
Anthony Johnson,PG,32,TOT,NBA,2007,67,17,1301,142,343,117,270,25,73,46,61,22,79,101,201,33,3,76,119,355,0.414,41.4,15.9,0.159,0.433,0.342,0.45,0.754,0.48,78.7,21.3,65.9,32.1,21.1,12.7,13,14.9,33.8,42.7,0.427,57.3,76,0.76,24,0.24,48.6,51.4,2.1,5.1,41.4,0.4,1.1,34.2,1.7,0.7,0.9,75.4,0.754,0.3,1.2,5.3,1.5,3,1.1,0.5,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DerMarr Johnson,SF,26,DEN,NBA,2007,39,7,419,50,154,31,66,19,88,16,21,10,47,57,17,16,12,27,39,135,0.325,32.5,18.8,0.188,0.47,0.216,0.386,0.762,0.414,42.9,57.1,45.9,7.4,42.2,20.7,11.9,21.5,38.5,58.1,0.581,41.9,100,1,0,0,74,26,1.3,3.9,32.5,0.5,2.3,21.6,0.8,0.4,0.5,76.2,0.762,0.3,1.2,3.5,1.5,0.4,0.7,0.4,0.3,28.9,0.289,107.6,1.076,12.2,29.9,83,16.5,105.4,8639
Joe Johnson,SF,25,ATL,NBA,2007,57,57,2359,536,1139,417,827,119,312,235,314,53,186,239,249,60,11,176,115,1426,0.471,47.1,28.5,0.285,0.504,0.381,0.523,0.748,0.558,72.6,27.4,58.5,24,25,9.8,16.5,17.5,34.5,30,0.3,70,76.5,0.765,23.5,0.235,40.3,59.7,9.4,20,47.1,2.1,5.5,38.1,7.3,4.1,5.5,74.8,0.748,0.9,3.3,25,4.2,4.4,3.1,1.1,0.2,29.2,0.292,103,1.03,11.9,26.9,77.7,15.9,93.7,7680
Linton Johnson,PF,26,NOK,NBA,2007,54,0,720,93,190,83,160,10,30,30,37,52,111,163,18,33,18,27,101,226,0.489,48.9,14.9,0.149,0.519,0.333,0.516,0.811,0.548,84.2,15.8,73.5,40.7,13.3,8.4,13.3,19,32.7,73.5,0.735,26.5,100,1,0,0,76.3,23.7,1.7,3.5,48.9,0.2,0.6,33.3,1.5,0.6,0.7,81.1,0.811,1,2.1,4.2,3,0.3,0.5,0.6,0.3,29.1,0.291,104.8,1.048,12.5,23.7,81.4,14.5,95.5,7833
Bobby Jones,SF,23,PHI,NBA,2007,44,5,336,43,93,42,84,1,9,23,41,22,35,57,16,11,1,18,59,110,0.462,46.2,17.6,0.176,0.5,0.111,0.468,0.561,0.495,90.3,9.7,76.4,16.4,2.7,26.4,20.9,20.9,60,59.5,0.595,40.5,100,1,0,0,60.5,39.5,1,2.1,46.2,0,0.2,11.1,1,0.5,0.9,56.1,0.561,0.5,0.8,2.5,1.3,0.4,0.4,0.3,0,27.2,0.272,103.6,1.036,11,26,78.1,15.3,94.9,7785
Dahntay Jones,SG,26,MEM,NBA,2007,78,25,1671,220,461,215,449,5,12,138,174,47,106,153,68,39,22,92,192,583,0.477,47.7,17.4,0.174,0.479,0.417,0.483,0.793,0.542,97.4,2.6,73.8,25.4,2.6,25.7,23.7,21.3,48.4,55.8,0.558,44.2,100,1,0,0,56.8,43.2,2.8,5.9,47.7,0.1,0.2,41.7,2.8,1.8,2.2,79.3,0.793,0.6,1.4,7.5,2,0.9,1.2,0.5,0.3,25.9,0.259,106.9,1.069,10.6,29.4,78.6,16.4,101.6,8331
Damon Jones,PG,30,CLE,NBA,2007,60,0,1173,137,355,48,124,89,231,30,44,9,57,66,94,16,2,36,53,393,0.386,38.6,15.4,0.154,0.387,0.385,0.511,0.682,0.525,34.9,65.1,24.4,15.8,67.9,17.3,7.6,21.1,8.7,50,0.5,50,85.4,0.854,14.6,0.146,73,27,2.3,5.9,38.6,1.5,3.9,38.5,0.8,0.5,0.7,68.2,0.682,0.2,1,6.6,1.1,1.6,0.6,0.3,0,29.7,0.297,105.5,1.055,12.7,26,81.2,14.4,96.8,7934
