Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Tariq Wahad,SF,27,TOT,NBA,2002,24,12,441,55,147,54,145,1,2,24,33,41,43,84,24,20,10,27,56,135,0.374,37.4,#N/A,#N/A,0.372,0.5,0.378,0.727,0.418,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Shareef Rahim,PF,25,ATL,NBA,2002,77,77,2980,598,1297,577,1227,21,70,419,523,198,498,696,239,98,81,250,214,1636,0.461,46.1,#N/A,#N/A,0.47,0.3,0.469,0.801,0.536,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.5,0.275,101.8,1.018,11.6,23.7,80.6,15.5,94,7711
Courtney Alexander,SG,24,WAS,NBA,2002,56,28,1325,223,474,218,456,5,18,98,121,43,105,148,86,35,7,60,113,549,0.47,47,20.4,0.204,0.478,0.278,0.476,0.81,0.521,96.2,3.8,79.4,48.1,2.7,18.9,17.9,18,31.3,64.2,0.642,35.8,80,0.8,20,0.2,64.6,35.4,4,8.5,0.47,0.1,0,0.278,3.9,1.8,2.2,81,0.81,0.6,1.6,9.5,2.2,1,1.2,0.7,0.1,30.7,0.307,104.8,1.048,12.9,22.8,81.3,13,92.8,7609
Victor Alexander,SF,32,DET,NBA,2002,15,0,97,18,51,18,49,0,2,4,8,7,22,29,6,0,1,5,6,40,0.353,35.3,28,0.28,0.367,0,0.353,0.5,0.367,96.1,3.9,90,50,0,0,10,7.5,40,77.8,0.778,22.2,0,0,0,0,77.8,22.2,1.2,3.4,0.353,0,0,0,1.2,0.3,0.5,50,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24.4,0.244,104.8,1.048,9.9,23.8,76.8,14.5,94.3,7735
Malik Allen,PF,23,MIA,NBA,2002,12,2,161,22,51,22,50,0,1,8,10,15,23,38,5,3,8,2,16,52,0.431,43.1,16.4,0.164,0.44,0,0.431,0.8,0.469,98,2,84.6,34.6,0,3.8,15.4,23.1,50,59.1,0.591,40.9,0,0,0,0,59.1,40.9,1.8,4.3,0.431,0,0,0,1.8,0.7,0.8,80,0.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.6,0.266,98.5,0.985,11,20.8,77.8,14.8,87.2,7150
Ray Allen,SG,26,MIL,NBA,2002,69,67,2525,530,1148,301,620,229,528,214,245,81,231,312,271,88,18,159,157,1503,0.462,46.2,26.2,0.262,0.485,0.434,0.561,0.873,0.598,54,46,40.1,18.1,45.7,16.8,14.2,15.8,22,44.9,0.449,55.1,77.3,0.773,22.7,0.227,58.9,41.1,7.7,16.6,0.462,3.3,8,0.434,4.4,3.1,3.6,87.3,0.873,1.2,4,22,5.2,4.6,2.5,1.5,0.2,25.6,0.256,106.9,1.069,10.3,21.5,80.2,14.1,97.5,7996
Rafer Alston,PG,25,MIL,NBA,2002,50,7,600,66,191,39,120,27,71,18,29,10,62,72,143,32,2,40,42,177,0.346,34.6,19.7,0.197,0.325,0.38,0.416,0.621,0.434,62.8,37.2,44.1,19.2,45.8,13,10.2,25.4,24.9,23.1,0.231,76.9,92.6,0.926,7.4,0.074,51.5,48.5,1.3,3.8,0.346,0.5,1,0.38,0.8,0.4,0.6,62.1,0.621,0.1,0.7,2.1,0.8,1.8,0.5,0.4,0,25.6,0.256,106.9,1.069,10.3,21.5,80.2,14.1,97.5,7996
John Amaechi,PF,31,UTA,NBA,2002,54,0,586,54,166,54,166,0,0,67,105,52,57,109,29,7,10,55,64,175,0.325,32.5,20.4,0.204,0.325,,0.325,0.638,0.412,100,0,61.7,11.4,0,6.9,38.3,16,50.3,63,0.63,37,0,0,0,0,63,37,1,3.1,0.325,0,0,0,1,1.2,1.9,63.8,0.638,0.9,2.3,7.9,3.3,0.9,1.5,0.3,0.4,33.5,0.335,105.6,1.056,13.5,29.6,77.7,16.5,96,7871
Chris Andersen,PF,23,DEN,NBA,2002,24,1,262,25,74,25,70,0,4,22,28,38,38,76,7,7,28,13,35,72,0.338,33.8,16.4,0.164,0.357,0,0.338,0.786,0.417,94.6,5.4,69.4,2.8,0,18.1,30.6,16.7,66.7,60,0.6,40,0,0,0,0,60,40,1,3.1,0.338,0,0,0,1,0.9,1.2,78.6,0.786,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.6,0.306,101.4,1.014,13.6,21.4,83.8,14.7,92.2,7559
Derek Anderson,SG,27,POR,NBA,2002,70,27,1860,247,612,162,384,85,228,178,208,47,142,189,216,68,8,87,113,757,0.404,40.4,19.5,0.195,0.422,0.373,0.473,0.856,0.538,62.8,37.2,42.8,21.7,33.7,15.9,23.5,23.1,21.1,65.4,0.654,34.6,88.2,0.882,11.8,0.118,73.3,26.7,3.5,8.7,0.404,1.2,3,0.373,2.3,2.5,3,85.6,0.856,0.9,3.5,15.5,4.4,3.7,2,1.5,0.2,31.8,0.318,107.4,1.074,13.2,23.2,81.4,14.3,96.6,7925
