Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Bismack Biyombo,ORL,24,79,28,51,22.4,100,0,74.3,4.2,0,7.8,25.7,12.2,70,81.3,18.8,0,0,81.3,18.8
Blake Griffin,LAC,28,59,38,21,34.2,88.4,11.6,66.9,21.4,8.9,18.4,24.2,14.8,45.5,50.3,49.7,97.4,2.6,54.2,45.8
Boban Marjanovic,DET,28,33,16,17,7.7,100,0,73.4,8.3,0,5.3,26.6,11.8,65.1,71,29,0,0,71,29
Bobby Brown,HOU,32,23,17,6,3.9,40,60,25.5,12.8,70.2,10.6,4.3,10.6,12.8,33.3,66.7,81.8,18.2,64.7,35.3
Bobby Portis,CHI,22,62,28,34,15.5,74.7,25.3,69.9,24.6,21,13.3,9.2,21.2,45.3,63.4,36.6,100,0,69.5,30.5
Bojan Bogdanovic,WAS,27,79,22,57,25.9,53.3,46.7,41.6,6.9,38.8,15.6,19.6,16.2,34.6,51.3,48.7,92.3,7.7,67,33
Boris Diaw,UTA,34,71,43,28,17.5,75,25,74.7,11.7,18.5,4.6,6.8,8.3,63,36.4,63.6,95,5,44.7,55.3
Bradley Beal,WAS,23,76,47,29,34.9,58.2,41.8,46.3,15.2,37.8,15.1,15.9,14.9,31,48,52,80.5,19.5,59.5,40.5
Brandan Wright,MEM,29,27,14,13,16,99.2,0.8,88.6,2.2,0,13,11.4,18.9,86.5,89,11,0,0,89,11
Brandon Bass,LAC,31,50,27,23,11.1,98.3,1.7,73.5,18.2,1.1,14.2,25.5,20,55.3,69.3,30.7,100,0,69.6,30.4
Brandon Ingram,LAL,19,77,25,52,28.8,71.7,28.3,58.8,17.9,23.1,10.9,18.1,18.5,40.9,36.2,63.8,98.2,1.8,49.1,50.9
Brandon Jennings,WAS,27,79,36,43,22.1,52.7,47.3,38.7,12.9,41.4,16.8,19.9,18.3,25.8,18,82,50.6,49.4,31.6,68.4
Brandon Knight,PHX,25,54,16,38,21.1,73.5,26.5,55.1,19.2,22.7,19,22.2,16.8,36,17.1,82.9,51.1,48.9,24.4,75.6
Brandon Rush,MIN,31,45,15,30,21.9,40,60,26.6,9.6,67,14.9,6.4,15.4,17,80,20,97.6,2.4,91,9
Brian Roberts,CHA,31,39,16,23,9.2,63.8,36.2,38.2,21.4,36.6,4.6,25.2,8.4,16.8,36,64,87.5,12.5,56.1,43.9
Briante Weber,CHA,24,18,12,6,8.9,87.2,12.8,85.7,8.2,0,22.4,14.3,42.9,77.6,38.1,61.9,0,0,38.1,61.9
Brice Johnson,LAC,22,2,0,2,3.3,100,0,100,0,0,0,0,0,100,100,0,0,0,100,0
Brook Lopez,BKN,29,74,20,54,29.6,67,33,54.4,7.1,26.4,4.4,19.2,10.8,47.3,50.7,49.3,98.5,1.5,62.4,37.6
Bruno Caboclo,TOR,21,8,7,1,2.9,40,60,0,0,100,0,0,0,0,0,0,100,0,100,0
Bryn Forbes,SAS,23,35,24,11,7.8,47.4,52.6,41.8,35.2,52.7,6.6,5.5,22,6.6,47.4,52.6,81.3,18.8,62.9,37.1
Buddy Hield,SAC,23,80,30,50,22.7,49.9,50.1,40.5,11.5,52,18.5,7.6,17.4,29,42.2,57.8,78.2,21.8,58.8,41.2
C.J. Watson,ORL,32,62,20,42,16.3,57.7,42.3,45.6,22.8,34.2,23.5,20.3,18.5,22.8,48.4,51.6,65.6,34.4,54.2,45.8
Cameron Payne,CHI,22,31,16,15,14.9,55.4,44.6,46.3,21.3,50.6,4.4,3.1,11.9,25,21.6,78.4,85.2,14.8,48.4,51.6
Caris LeVert,BKN,22,55,15,40,21.5,51.3,48.7,47.1,7.2,38.3,20.9,14.6,22,39.9,33.3,66.7,73.7,26.3,47.5,52.5
Carmelo Anthony,NYK,32,73,28,45,34.5,69.4,30.6,54.1,36.2,27.6,5.2,18.3,11.9,17.9,31.5,68.5,76.2,23.8,42.9,57.1
