Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,2PT%3PT,%PTSFBPS,%PTSFT,%PTSOFFTO,%PTSPITP,2FGM%AST,%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
James Michael McAdoo,24,GSW,NBA,2016-17,45,0,380,53,94,53,91,0,3,17,36,25,46,71,17,13,26,17,42,123,0.564,0.582,0,0.564,0.472,0.56,94.5,5.5,83.8,10.3,2.2,19.1,14,7.4,73.5,87.7,12.3,100,0,87.9,12.1,1.2,2.2,53.2,0,0.1,16.7,0.4,0.8,47.5,0.6,1,1.7,0.3,0.4,0.3,0.5,0.9,0,0,-1.1
Patrick McCaw,21,GSW,NBA,2016-17,65,17,950,91,211,53,102,38,109,23,31,19,71,90,69,26,14,30,55,243,0.431,0.52,0.349,0.521,0.742,0.541,48.7,51.3,44.6,4.6,45,21.5,10.4,18.8,40,75.9,24.1,92.3,7.7,82.5,17.5,1.4,3.2,43.3,0.6,1.7,33.9,0.4,0.5,77.1,0.3,1.1,1.4,1.1,0.5,0.5,0.2,0.9,0,0,-0.5
Sheldon McClellan,24,WAS,NBA,2016-17,29,3,252,24,64,18,38,6,26,18,21,4,26,30,15,8,2,3,16,72,0.375,0.474,0.231,0.422,0.857,0.492,59.4,40.6,50,22.2,25,12.5,25,18.1,27.8,50,50,83.3,16.7,58.3,41.7,0.8,2.2,37.5,0.2,0.9,23.1,0.6,0.7,85.7,0.1,0.9,1,0.5,0.1,0.3,0.1,0.6,0,0,-1.7
C.J McCollum,25,POR,NBA,2016-17,74,74,2589,650,1332,475,920,175,412,252,277,53,216,269,260,69,40,163,193,1727,0.488,0.516,0.425,0.554,0.91,0.594,69.5,30.5,55.2,25,30.2,9.7,14.6,12.3,30.2,26,74,74.1,25.9,38.9,61.1,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,1,0,0.8
T.J McConnell,24,PHI,NBA,2016-17,74,44,1913,212,451,202,405,10,46,60,75,35,189,224,475,119,9,136,130,494,0.47,0.499,0.217,0.481,0.8,0.51,89.2,10.8,80.7,17.8,6.1,12.2,13.1,17.2,63,25.2,74.8,90.9,9.1,28.4,71.6,2.9,6.3,46,0.1,0.7,20.4,0.9,1.1,82.6,0.5,2.6,3.1,6.6,1.9,1.6,0.1,1.7,5,0,-4
Chris McCullough,21,TOT,NBA,2016-17,15,0,74,16,31,15,25,1,6,3,5,9,8,17,2,1,2,2,7,36,0.516,0.6,0.167,0.532,0.6,0.542,80.6,19.4,83.3,27.8,8.3,22.2,8.3,16.7,55.6,66.7,33.3,100,0,68.8,31.3,1.1,2.1,51.6,0.1,0.4,16.7,0.2,0.3,60,0.6,0.5,1.1,0.1,0.1,0.1,0.1,0.5,0,0,2.9
K.J McDaniels,23,TOT,NBA,2016-17,44,0,412,64,136,49,85,15,51,23,26,14,51,65,11,17,13,22,45,166,0.471,0.576,0.294,0.526,0.885,0.563,61.4,38.6,55.8,3.2,30,19.5,14.2,20,52.6,52.8,47.2,94.7,5.3,63.9,36.1,1.5,3.3,47.1,0.4,1.3,32.2,0.6,0.7,84.4,0.3,1.2,1.5,0.3,0.6,0.4,0.3,1,0,0,-0.5
Doug McDermott,25,TOT,NBA,2016-17,61,4,1393,210,470,138,279,72,191,68,77,19,146,165,56,12,4,37,74,560,0.447,0.495,0.377,0.523,0.883,0.556,58,42,49,18.2,39,10.5,12,11,30.7,76.6,23.4,98.7,1.3,84.2,15.8,3.4,7.5,44.6,1.2,3.2,36.8,1.1,1.3,84.5,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,1,0,-0.4
JaVale McGee,29,GSW,NBA,2016-17,70,10,648,175,275,175,271,0,4,47,93,83,128,211,16,15,53,36,96,397,0.636,0.646,0,0.636,0.505,0.628,99,1,88,1.3,0,11.3,12,14.7,86.7,77.3,22.7,0,0,77.3,22.7,2.6,4.1,64.5,0,0,0,0.7,1.4,50.9,1.3,1.8,3.1,0.2,0.5,0.2,0.9,1.4,0,0,4
Rodney McGruder,25,MIA,NBA,2016-17,71,58,1786,172,413,104,213,68,200,41,66,89,144,233,106,44,17,46,129,453,0.416,0.488,0.34,0.499,0.621,0.512,52.1,47.9,47.2,5.7,43.7,14.8,9,17.2,41.5,47.8,52.2,98.6,1.4,67.2,32.8,2.4,5.9,41.4,0.9,2.8,33,0.6,0.9,63.8,1.2,2.1,3.3,1.6,0.7,0.6,0.2,1.8,0,0,0.2
Ben McLemore,23,SAC,NBA,2016-17,54,25,999,145,345,92,200,53,145,53,69,15,78,93,43,25,6,50,87,396,0.42,0.46,0.366,0.497,0.768,0.527,58.6,41.4,45.8,17.6,41.1,18,13.1,15.6,28.3,68.2,31.8,90.6,9.4,76.6,23.4,2.9,6.8,42.9,1.1,2.8,38.8,1,1.4,76.3,0.3,1.6,1.9,0.8,1.1,0.5,0.1,1.7,0,0,-2.4
Jordan McRae,25,CLE,NBA,2016-17,37,4,384,58,150,40,99,18,51,27,34,6,34,40,19,8,6,14,31,161,0.387,0.404,0.353,0.447,0.794,0.488,66,34,49.7,22.4,33.5,9.9,16.8,10.6,27.3,37.5,62.5,94.4,5.6,55.2,44.8,1.6,4.1,38.7,0.5,1.4,35.3,0.7,0.9,79.4,0.2,0.9,1.1,0.5,0.4,0.2,0.2,0.8,0,0,-1.6
Josh McRoberts,29,MIA,NBA,2016-17,22,14,381,44,118,31,87,13,31,6,9,23,51,74,50,10,4,23,31,107,0.373,0.356,0.419,0.428,0.667,0.439,73.7,26.3,57.9,16.8,36.4,0,5.6,14,41.1,51.6,48.4,92.3,7.7,63.6,36.4,2,5.4,37.3,0.6,1.4,41.9,0.3,0.4,66.7,1,2.3,3.4,2.3,1,0.5,0.2,1.4,0,0,-3.3
Jodie Meeks,29,ORL,NBA,2016-17,29,9,604,81,202,39,99,42,103,48,55,4,61,65,39,31,2,26,34,252,0.401,0.394,0.408,0.505,0.873,0.557,47.1,52.9,29.8,12.1,50.5,13.3,19.7,14.6,17.8,76.6,23.4,92.5,7.5,85,15,2.9,7.2,41,1.6,3.8,41.1,1.8,2.1,88.6,0.1,2.1,2.3,1.3,0.9,1,0.1,1.1,0,0,-1.9
Salah Mejri,30,DAL,NBA,2016-17,66,11,829,72,114,72,112,0,2,30,49,87,198,285,14,30,59,38,141,174,0.632,0.643,0,0.632,0.612,0.642,98.5,1.5,82.9,3.9,0,2.4,17.1,10.2,79,70.6,29.4,0,0,70.6,29.4,1.2,1.9,63.9,0,0,0,0.5,0.8,59.3,1.3,2.9,4.3,0.2,0.6,0.5,0.9,2.1,1,0,-0.1
Jordan Mickey,22,BOS,NBA,2016-17,23,1,136,15,33,15,32,0,1,7,12,13,19,32,7,2,5,9,12,37,0.455,0.469,0,0.455,0.583,0.483,97.1,2.9,78.9,10.5,0,0,21.1,10.5,68.4,73.3,26.7,0,0,73.3,26.7,0.6,1.4,44.1,0,0,0,0.3,0.6,57.1,0.5,0.8,1.4,0.3,0.4,0.1,0.2,0.5,0,0,-2.3
Khris Middleton,25,MIL,NBA,2016-17,23,17,683,120,261,86,183,34,78,72,83,7,82,89,80,34,7,52,62,346,0.46,0.47,0.436,0.525,0.867,0.581,69.4,30.6,50.6,25.3,29.9,5.1,19.5,20,25.3,49,51,90.2,9.8,60.7,39.3,5.2,11.6,44.8,1.5,3.5,41.4,2.9,3.3,87.9,0.4,3.8,4.1,3.3,2.2,1.5,0.3,2.8,0,0,2.6
C.J Miles,29,IND,NBA,2016-17,69,29,1615,254,584,101,214,153,370,75,84,23,180,203,44,40,25,37,144,736,0.435,0.472,0.414,0.566,0.893,0.593,36.9,63.1,27.4,8.5,62.1,10,10.5,17.1,18.8,56,44,95.2,4.8,79.6,20.4,3.7,8.5,43.6,2.2,5.4,41.6,1.1,1.3,90.3,0.4,2.6,3,0.6,0.5,0.6,0.3,2,0,0,0.9
Mike Miller,36,DEN,NBA,2016-17,17,0,91,6,15,0,2,6,13,2,2,2,21,23,12,1,0,9,7,20,0.4,0,0.462,0.6,1,0.63,12.5,87.5,0,0,90,15,10,0,0,0,0,100,0,100,0,0.3,0.9,37.5,0.3,0.8,42.9,0.1,0.1,100,0.1,1.2,1.3,0.7,0.5,0.1,0,0.4,0,0,-1.4
Patty Mills,28,SAS,NBA,2016-17,73,7,1610,258,578,121,247,137,331,63,76,23,105,128,259,61,3,91,104,716,0.446,0.49,0.414,0.565,0.829,0.586,42.6,57.4,33.2,16.1,57.9,16.2,8.8,18.6,17.2,54,46,81.9,18.1,69,31,3.4,7.8,43.9,1.8,4.5,41,0.8,1,82.5,0.3,1.5,1.8,3.5,1.2,0.8,0,1.4,1,0,5.2
Paul Millsap,31,ATL,NBA,2016-17,65,65,2230,408,922,336,693,72,229,286,376,106,396,502,244,87,62,147,174,1174,0.443,0.485,0.314,0.482,0.761,0.54,75.1,24.9,56.6,15.5,18.2,5.3,25.2,13.8,41.1,55.7,44.3,94.7,5.3,62.6,37.4,6.3,14.1,44.2,1.1,3.5,31.3,4.6,6,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,19,0,1.8
Nikola Mirotic,25,CHI,NBA,2016-17,62,7,1456,219,534,113,211,106,323,84,111,49,272,321,63,44,47,69,112,628,0.41,0.536,0.328,0.509,0.757,0.539,39.6,60.4,34.8,7.5,51.7,12,13.5,14.5,27.3,68.8,31.2,96.8,3.2,82.7,17.3,3.7,8.8,41.4,1.8,5.3,34.2,1.4,1.8,77.6,0.8,4.6,5.4,1,1.2,0.7,0.8,1.8,8,0,2.2
Greg Monroe,26,MIL,NBA,2016-17,74,0,1678,360,674,360,672,0,2,167,222,156,337,493,171,85,37,125,153,887,0.534,0.536,0,0.534,0.752,0.575,99.7,0.3,81.5,8.6,0,7,18.5,15.2,72.9,58.1,41.9,0,0,58.1,41.9,4.8,8.9,53.5,0,0,0,2.2,2.9,74.3,2.1,4.5,6.6,2.3,1.7,1.2,0.5,2.1,13,0,1.7
E'Twaun Moore,27,NOP,NBA,2016-17,68,21,1715,267,589,194,393,73,196,48,62,32,109,141,153,47,29,60,129,655,0.453,0.494,0.372,0.515,0.774,0.531,66.4,33.6,58.8,16.4,33.1,18.1,8,17.4,42.5,42,58,88.3,11.7,54.6,45.4,3.9,8.6,45.8,1.1,2.9,37.2,0.8,1,77.8,0.4,1.7,2.1,2.3,0.9,0.7,0.4,1.8,0,0,-1.4
Marcus Morris,27,DET,NBA,2016-17,74,74,2432,391,945,278,603,113,342,140,178,73,271,344,155,51,23,80,156,1035,0.414,0.461,0.33,0.474,0.787,0.506,64.2,35.8,54.3,33.9,32.4,7.7,13.3,12,20.5,38,62,91.5,8.5,53.3,46.7,5.3,12.7,41.8,1.5,4.6,33.2,1.9,2.4,78.4,1,3.7,4.6,2.1,1.1,0.7,0.3,2.1,5,0,-1.2
Markieff Morris,27,WAS,NBA,2016-17,71,71,2238,374,827,311,645,63,182,176,211,101,363,464,124,80,41,120,240,987,0.452,0.482,0.346,0.49,0.834,0.537,78,22,62.9,18.8,19.8,6.9,17.3,14.4,44.1,60.4,39.6,97.1,2.9,66.8,33.2,5.3,11.6,45.5,0.9,2.6,35.9,2.4,2.9,83.7,1.4,5.1,6.5,1.7,1.7,1.1,0.6,3.4,9,0,2.4
Anthony Morrow,31,TOT,NBA,2016-17,44,7,657,91,231,53,108,38,123,26,29,11,18,29,19,21,2,7,41,246,0.394,0.491,0.309,0.476,0.897,0.505,47.4,52.6,42.6,16,44.5,8,12.9,10.3,26.6,60.7,39.3,97.4,2.6,75.8,24.2,2,5.3,38.5,0.8,2.8,30,0.7,0.8,91.9,0.3,0.4,0.7,0.5,0.1,0.5,0,0.9,0,0,0
Donatas Motiejunas,26,NOP,NBA,2016-17,29,0,399,48,108,38,71,10,37,18,39,23,71,94,28,13,9,28,51,124,0.444,0.535,0.27,0.491,0.462,0.495,65,35,60.3,1.5,24.3,16.9,15.4,13.2,58.8,70.7,29.3,100,0,76.9,23.1,1.6,3.8,43.3,0.3,1.3,26.2,0.7,1.4,47.7,0.8,2.2,3,0.9,0.9,0.5,0.3,1.6,0,0,-3.2
Timofey Mozgov,30,LAL,NBA,2016-17,54,52,1104,169,328,169,327,0,1,63,78,105,161,266,43,16,31,72,133,401,0.515,0.517,0,0.515,0.808,0.553,99.7,0.3,84.3,20,0,10.5,15.7,13,64.3,74.6,25.4,0,0,74.6,25.4,3.1,6.1,51.5,0,0,0,1.2,1.4,80.8,1.9,3,4.9,0.8,1.3,0.3,0.6,2.5,1,0,-3.6
Emmanuel Mudiay,20,DEN,NBA,2016-17,50,41,1288,188,507,136,341,52,166,114,146,26,137,163,191,38,12,114,86,542,0.371,0.399,0.313,0.422,0.781,0.474,67.7,32.3,50.4,9,27.9,15.8,21.7,15.8,41.5,36.8,63.2,91.1,8.9,51.4,48.6,3.8,10,37.7,1,3.2,31.5,2.4,3,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,1,0,-2.4
Shabazz Muhammad,24,MIN,NBA,2016-17,69,1,1358,249,518,203,388,46,130,124,161,71,125,196,32,19,5,48,77,668,0.481,0.523,0.354,0.525,0.77,0.567,76,24,61.5,8.1,19.4,23.8,19,19.7,53.4,68,32,97.9,2.1,73.2,26.8,3.6,7.6,48.1,0.6,1.8,34.8,1.9,2.4,77.9,1.1,1.8,2.9,0.4,0.7,0.3,0.1,1.1,1,0,-1.1
Dejounte Murray,20,SAS,NBA,2016-17,37,8,316,49,115,40,92,9,23,21,30,6,36,42,48,8,6,38,28,128,0.426,0.435,0.391,0.465,0.7,0.499,80,20,62.5,3.1,21.1,17.2,16.4,20.3,59.4,42.5,57.5,88.9,11.1,51,49,1.3,3.1,42.6,0.2,0.6,39.1,0.6,0.8,70,0.2,1,1.1,1.3,1,0.2,0.2,0.8,0,0,0.1
Jamal Murray,19,DEN,NBA,2016-17,74,4,1501,252,631,150,332,102,299,91,105,38,146,184,132,44,21,97,115,697,0.399,0.452,0.341,0.48,0.867,0.515,52.6,47.4,44.4,11.1,42.2,11.1,13.3,12.7,33.3,50,50,71.6,28.4,58.4,41.6,3.5,8.7,40.2,1.4,4.1,32.9,1.3,1.5,88,0.5,2.1,2.6,1.9,1.4,0.6,0.3,1.5,0,0,0.9
Mike Muscala,25,ATL,NBA,2016-17,63,3,1102,145,298,108,202,37,96,47,62,71,145,216,78,28,37,51,88,374,0.487,0.535,0.385,0.549,0.758,0.575,67.5,32.5,57.1,15.3,31.7,7.7,11.3,14.6,41.7,84,16,100,0,88.3,11.7,2.4,4.8,50,0.6,1.6,41.5,0.7,0.9,75.8,1.1,2.4,3.5,1.3,0.8,0.4,0.6,1.4,0,0,-1.4
Larry Nance Jr.,24,LAL,NBA,2016-17,55,0,1207,159,296,153,271,6,25,49,68,93,207,300,80,68,32,50,128,373,0.537,0.565,0.24,0.547,0.721,0.572,90.9,9.1,81.1,17.2,5.6,14,13.3,20.7,63.9,74.7,25.3,100,0,75.8,24.2,3,5.6,53.5,0.1,0.5,25.8,0.9,1.3,73.1,1.9,3.9,5.7,1.5,0.9,1.3,0.6,2.4,6,0,-2.3
Shabazz Napier,25,POR,NBA,2016-17,48,0,429,53,138,27,62,26,76,24,33,6,41,47,60,30,2,32,31,156,0.384,0.435,0.342,0.478,0.727,0.511,45.5,54.5,33.5,16.1,50.3,14.3,16.1,20.5,17.4,18.5,81.5,66.7,33.3,42.6,57.4,1.1,2.8,37.2,0.5,1.5,34.2,0.5,0.7,74.3,0.1,0.9,1,1.2,0.6,0.6,0,0.6,0,0,0.2
Maurice Ndour,24,NYK,NBA,2016-17,25,0,172,20,44,19,39,1,5,11,13,11,25,36,3,9,2,6,19,52,0.455,0.487,0.2,0.466,0.846,0.523,91.3,8.8,77.4,19.4,3.2,17.2,19.4,18.3,58.1,75,25,100,0,75.7,24.3,1.2,2.6,46.3,0,0.2,14.3,0.6,0.8,75,0.7,1.4,2,0.3,0.4,0.5,0.2,1,1,0,0.5
Gary Neal,32,ATL,NBA,2016-17,2,0,18,0,7,0,5,0,2,4,4,0,1,1,1,0,0,0,1,4,0,0,0,0,1,0.228,71.4,28.6,0,0,0,0,100,100,0,0,0,0,0,0,0,0,3.5,0,0,1,0,2,2,100,0,0.5,0.5,0.5,0,0,0,0.5,0,0,-2.5
Jameer Nelson,34,DEN,NBA,2016-17,73,37,1986,261,587,161,326,100,261,45,63,28,160,188,371,52,8,124,190,667,0.445,0.494,0.383,0.53,0.714,0.543,54.8,45.2,47.2,18,46.3,11.9,6.6,11.9,29.1,32.7,67.3,72.6,27.4,48.5,51.5,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,4,0,1.7
Raul Neto,24,UTA,NBA,2016-17,39,0,333,41,89,31,59,10,30,8,9,4,24,28,32,21,3,14,46,100,0.461,0.525,0.333,0.517,0.889,0.538,65.9,34.1,62,8,30,13,8,28,54,25.8,74.2,90,10,41.5,58.5,1,2.3,45.1,0.3,0.8,32.3,0.2,0.2,88.9,0.1,0.7,0.8,0.9,0.4,0.5,0.1,1.2,0,0,2.1
Georges Niang,23,IND,NBA,2016-17,23,0,93,9,36,8,24,1,12,2,2,2,15,17,5,3,0,5,6,21,0.25,0.333,0.083,0.264,1,0.285,66.7,33.3,76.2,0,14.3,9.5,9.5,28.6,76.2,62.5,37.5,100,0,66.7,33.3,0.4,1.6,25,0,0.5,8.3,0.1,0.1,100,0.1,0.7,0.7,0.2,0.2,0.1,0,0.3,0,0,0.1
Andrew Nicholson,27,TOT,NBA,2016-17,35,0,302,41,102,36,78,5,24,9,14,14,41,55,10,14,6,14,46,96,0.402,0.462,0.208,0.426,0.643,0.444,76.7,23.3,75.5,18.4,15.3,4.1,9.2,14.3,57.1,64.9,35.1,100,0,69,31,1.2,2.9,40.8,0.1,0.7,20.8,0.3,0.4,64.3,0.4,1.1,1.5,0.3,0.4,0.4,0.2,1.4,0,0,-2.6
Joakim Noah,31,NYK,NBA,2016-17,46,46,1015,99,200,99,199,0,1,34,78,160,241,401,103,30,37,58,127,232,0.495,0.497,0,0.495,0.436,0.495,99.5,0.5,85.3,0.9,0,4.3,14.7,12.1,84.5,49.5,50.5,0,0,49.5,50.5,2.2,4.4,49,0,0,0,0.7,1.7,43.6,3.5,5.2,8.8,2.2,1.3,0.7,0.8,2.8,5,0,-3.1
Nerlens Noel,22,TOT,NBA,2016-17,43,12,897,159,270,159,269,0,1,67,97,83,166,249,43,56,44,42,113,385,0.589,0.591,0,0.589,0.691,0.616,99.7,0.3,82.4,8.4,0,13.3,17.6,23,74,73.9,26.1,0,0,73.9,26.1,3.6,6,59.7,0,0,0,1.5,2.2,69.4,1.8,3.9,5.8,1,1,1.3,1,2.6,3,0,-1.5
Lucas Nogueira,24,TOR,NBA,2016-17,55,6,1075,103,153,100,143,3,10,44,67,80,159,239,40,51,90,46,136,253,0.673,0.699,0.3,0.683,0.657,0.693,93.5,6.5,79.1,1.6,3.6,11.9,17.4,18.6,77.5,78,22,100,0,78.6,21.4,1.8,2.7,67.3,0.1,0.2,30,0.8,1.2,65.7,1.4,2.9,4.3,0.7,0.8,0.9,1.6,2.4,0,0,3.3
Steve Novak,33,MIL,NBA,2016-17,8,0,22,2,7,1,1,1,6,0,0,0,3,3,0,0,0,0,1,5,0.286,1,0.167,0.357,,0.357,14.3,85.7,40,0,60,0,0,0,40,100,0,100,0,100,0,0.3,0.9,28.6,0.1,0.8,16.7,0,0,0,0,0.4,0.4,0,0,0,0,0.1,0,0,0
Dirk Nowitzki,38,DAL,NBA,2016-17,48,48,1277,265,601,193,415,72,186,88,102,22,296,318,74,28,31,46,103,690,0.441,0.465,0.387,0.501,0.863,0.534,68.8,31.2,55.9,40.9,31.3,3.7,12.8,13.1,15,76.1,23.9,100,0,82.6,17.4,5.4,12.4,43.6,1.5,3.9,38,1.8,2.1,87.3,0.4,6.1,6.5,1.5,0.9,0.5,0.7,2.1,8,0,-0.3
Jusuf Nurkic,22,TOT,NBA,2016-17,64,47,1359,264,518,264,517,0,1,115,203,152,305,457,121,48,71,139,158,643,0.51,0.511,0,0.51,0.567,0.529,99.8,0.2,81.9,5.4,0,8.9,18.1,15.7,76.4,60.5,39.5,0,0,60.5,39.5,4.2,8.2,50.7,0,0,0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,13,0,-0.8
David Nwaba,24,LAL,NBA,2016-17,14,2,236,26,44,25,42,1,2,12,19,9,30,39,6,7,7,5,24,65,0.591,0.595,0.5,0.602,0.632,0.621,92.8,7.2,75.2,2,3,27.7,21.8,35.6,73.3,60.5,39.5,100,0,61.5,38.5,2.2,3.8,56.5,0.1,0.3,20,1.2,1.9,62.9,0.9,2.3,3.2,0.6,0.4,0.6,0.4,1.7,0,0,-0.2
Johnny O'Bryant III,23,TOT,NBA,2016-17,11,0,80,15,30,12,24,3,6,5,6,9,10,19,6,0,1,6,10,38,0.5,0.5,0.5,0.55,0.833,0.582,80,20,63.2,10.5,23.7,10.5,13.2,18.4,52.6,83.3,16.7,100,0,86.7,13.3,1.4,2.7,50,0.3,0.5,50,0.5,0.5,83.3,0.8,0.9,1.7,0.5,0.5,0,0.1,0.9,0,0,-2.4
Kyle O'Quinn,26,NYK,NBA,2016-17,72,8,1099,196,374,195,359,1,15,49,66,143,255,398,104,34,91,69,156,442,0.524,0.543,0.067,0.525,0.742,0.548,96.1,3.9,86.4,23.2,0.6,5.3,13,12.6,63.1,66,34,100,0,66.2,33.8,2.7,5.2,52.1,0,0.2,6.3,0.8,1.1,77.1,2,3.6,5.6,1.5,1,0.4,1.3,2.2,6,0,-2
Daniel Ochefu,23,WAS,NBA,2016-17,17,0,56,8,19,8,19,0,0,0,2,2,16,18,2,1,0,3,16,16,0.421,0.421,,0.421,0,0.402,100,0,100,0,0,0,0,0,100,62.5,37.5,0,0,62.5,37.5,0.4,1.2,38.1,0,0,0,0,0.1,0,0.2,0.9,1.1,0.1,0.2,0.1,0,0.9,0,0,-1.9
Jahlil Okafor,21,PHI,NBA,2016-17,50,33,1134,242,471,242,471,0,0,106,158,81,159,240,58,20,49,90,122,590,0.514,0.514,,0.514,0.671,0.546,100,0,82,8.1,0,4.7,18,14.9,73.9,42.6,57.4,0,0,42.6,57.4,4.8,9.4,51.4,0,0,0,2.1,3.2,67.1,1.6,3.2,4.8,1.2,1.8,0.4,1,2.4,2,0,-6.4
Victor Oladipo,24,OKC,NBA,2016-17,59,59,1973,373,831,254,519,119,312,99,131,35,224,259,144,72,19,95,137,964,0.449,0.489,0.381,0.52,0.756,0.542,62,38,53,15.8,36.2,21,10.8,16.1,37.2,44.4,55.6,88,12,58,42,6.2,14,44.1,1.9,5.3,36.2,1.7,2.3,75.2,0.6,3.7,4.3,2.6,1.7,1.2,0.3,2.4,3,0,2.8
Kelly Olynyk,25,BOS,NBA,2016-17,68,5,1397,232,450,170,278,62,172,80,109,67,252,319,131,41,25,90,182,606,0.516,0.612,0.36,0.584,0.734,0.608,62,38,57.1,7.3,29.6,6.2,13.4,14.4,49.8,71.3,28.7,96.9,3.1,77.9,22.1,3.5,6.7,51.6,0.9,2.5,34.9,1.2,1.7,72.7,1,3.8,4.8,1.9,1.3,0.6,0.4,2.7,2,0,0.1
Arinze Onuaku,29,ORL,NBA,2016-17,8,0,28,2,4,2,4,0,0,0,0,2,4,6,2,0,1,2,3,4,0.5,0.5,,0.5,,0.5,100,0,100,0,0,0,0,0,100,100,0,0,0,100,0,0.3,0.5,50,0,0,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0.1,0.4,0,0,-1.9
Chinanu Onuaku,20,HOU,NBA,2016-17,2,0,10,2,2,2,2,0,0,2,2,1,2,3,1,1,0,0,1,6,1,1,,1,1,1.042,100,0,66.7,0,0,0,33.3,16.7,66.7,75,25,0,0,75,25,1,1.3,80,0,0,0,1,1,100,0.3,0.8,1,0.8,0.5,0.5,0.3,0.5,0,0,-5.8
Kelly Oubre Jr.,21,WAS,NBA,2016-17,72,2,1402,159,378,110,212,49,166,60,78,52,179,231,41,50,13,43,176,427,0.421,0.519,0.295,0.485,0.769,0.518,55.7,44.3,52.2,10.8,33.5,24.8,14.3,25.3,41.4,54,46,98.1,1.9,67.2,32.8,2.3,5.5,42.9,0.7,2.4,29,0.9,1.2,75.8,0.8,2.5,3.3,0.6,0.6,0.7,0.2,2.5,1,0,-0.6
Zaza Pachulia,32,GSW,NBA,2016-17,63,63,1146,149,280,149,279,0,1,92,120,131,242,373,121,58,30,79,153,390,0.532,0.534,0,0.532,0.767,0.586,99.7,0.3,77.2,8.3,0,13.1,22.8,10.4,68.9,80.5,19.5,0,0,80.5,19.5,2.3,4.4,53.2,0,0,0,1.4,1.8,77,2,3.9,5.9,1.9,1.2,0.9,0.5,2.4,4,0,5.9
Georgios Papagiannis,19,SAC,NBA,2016-17,15,0,189,28,58,28,57,0,1,5,5,13,39,52,8,2,12,8,24,61,0.483,0.491,0,0.483,1,0.507,98.9,1.1,91.4,11.4,0,0,8.6,13.3,80,56.3,43.8,0,0,56.3,43.8,2.4,4.4,55.2,0,0.1,0,0.5,0.5,90,1.1,2.9,3.9,0.8,0.9,0.2,0.8,2,2,0,-1.7
Jabari Parker,21,MIL,NBA,2016-17,51,50,1728,399,814,334,636,65,178,162,218,79,234,313,142,51,22,92,111,1025,0.49,0.525,0.365,0.53,0.743,0.563,78.1,21.9,65.2,12.9,19,18.9,15.8,15.5,52.3,59.9,40.1,98.5,1.5,66.2,33.8,7.8,16,49,1.3,3.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1,0.4,2.2,2,0,-1.7
Tony Parker,34,SAS,NBA,2016-17,56,56,1423,232,504,210,441,22,63,71,97,10,93,103,259,29,2,75,80,557,0.46,0.476,0.349,0.482,0.732,0.509,87.7,12.3,75.8,27.1,11.3,13.4,12.9,16.2,48.7,25.4,74.6,100,0,32.2,67.8,4.2,9.1,46,0.4,1.1,33.8,1.3,1.8,71.2,0.1,1.7,1.8,4.6,1.4,0.5,0,1.4,0,0,3
Chandler Parsons,28,MEM,NBA,2016-17,34,34,675,75,222,50,129,25,93,35,43,6,78,84,55,20,5,24,52,210,0.338,0.388,0.269,0.394,0.814,0.436,58.1,41.9,47.6,10.5,35.7,13.3,16.7,23.3,37.1,66,34,80,20,70.7,29.3,2.2,6.5,33.8,0.7,2.7,26.9,1,1.3,81.4,0.2,2.3,2.5,1.6,0.7,0.6,0.1,1.5,0,0,-1.4
Lamar Patterson,25,ATL,NBA,2016-17,5,0,40,3,15,2,9,1,6,2,3,1,6,7,6,1,0,4,6,9,0.2,0.222,0.167,0.233,0.667,0.276,60,40,44.4,0,33.3,0,22.2,33.3,44.4,0,100,100,0,33.3,66.7,0.6,3,20,0.2,1.2,16.7,0.4,0.6,66.7,0.2,1.2,1.4,1.2,0.8,0.2,0,1.2,0,0,2.6
