Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,2PT%3PT,%PTSFBPS,%PTSFT,%PTSOFFTO,%PTSPITP,2FGM%AST,%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Kawhi Leonard,25,SAS,NBA,2016-17,67,67,2261,580,1199,451,847,129,352,443,502,75,319,394,237,122,48,142,110,1732,0.484,0.532,0.366,0.538,0.882,0.61,70.3,29.7,51.5,23.4,23.4,14,25.1,17.3,28.1,38.9,61.1,78.6,21.4,48.2,51.8,8.7,17.9,48.4,2,5.3,37.9,6.5,7.3,87.9,1.1,4.8,5.9,3.6,2.1,1.8,0.8,1.7,9,0,6.1
Meyers Leonard,24,POR,NBA,2016-17,66,7,1039,128,330,64,146,64,184,31,36,25,177,202,65,9,25,33,149,351,0.388,0.438,0.348,0.485,0.861,0.507,42.8,57.2,35.7,16.3,55.1,3.1,9.2,14.7,19.4,76.5,23.5,98.6,1.4,87.7,12.3,1.9,5,38.3,1,2.9,34,0.5,0.6,87.5,0.4,2.7,3.1,1,0.5,0.2,0.4,2.3,1,0,-0.6
Jon Leuer,27,DET,NBA,2016-17,69,29,1828,299,610,251,450,48,160,91,102,93,286,379,109,30,26,62,138,737,0.49,0.558,0.3,0.53,0.892,0.563,74.1,25.9,68.2,21.4,19.2,13.7,12.5,14,46.8,73.6,26.4,100,0,77.7,22.3,4.2,8.8,48.4,0.7,2.3,29.5,1.3,1.5,86.5,1.4,4.1,5.4,1.5,0.9,0.4,0.4,2,3,0,-0.7
Caris LeVert,22,BRK,NBA,2016-17,49,18,1049,135,302,88,152,47,150,58,81,24,132,156,92,45,6,52,74,375,0.447,0.579,0.313,0.525,0.716,0.555,51.3,48.7,47.1,7.2,38.3,20.9,14.6,22,39.9,33.3,66.7,73.7,26.3,47.5,52.5,2.9,6.5,45.6,1,3.1,32.9,1.2,1.7,71.4,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,0,0,-1.2
DeAndre Liggins,28,CLE,NBA,2016-17,56,19,723,50,131,33,87,17,44,23,35,16,78,94,53,43,14,40,74,140,0.382,0.379,0.386,0.447,0.657,0.478,66.9,33.1,48.6,4.2,35.4,18.8,16,13.9,44.4,45.7,54.3,94.1,5.9,61.5,38.5,0.9,2.2,38.2,0.3,0.7,37.8,0.4,0.6,62.2,0.3,1.4,1.7,0.9,0.7,0.7,0.2,1.3,0,0,0.8
Damian Lillard,26,POR,NBA,2016-17,69,69,2470,607,1358,416,841,191,517,435,488,45,293,338,399,62,19,186,142,1840,0.447,0.495,0.369,0.517,0.891,0.585,61.1,38.9,44.2,12.4,31.7,9.4,24.1,13,31.8,23.5,76.5,49.5,50.5,31.9,68.1,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,11,0,1.1
Jeremy Lin,28,BRK,NBA,2016-17,29,26,675,136,309,94,188,42,121,86,108,6,86,92,145,31,12,68,59,400,0.44,0.5,0.347,0.508,0.796,0.561,61.4,38.6,46.3,13.3,33.8,14.9,19.9,12.9,33,23.5,76.5,62.5,37.5,36.3,63.7,4.9,11.2,43.7,1.6,4.3,37.1,2.8,3.5,79.8,0.2,3.3,3.5,5.1,2.4,1.2,0.4,2.1,2,0,-2.1
Shaun Livingston,31,GSW,NBA,2016-17,69,2,1198,151,281,151,279,0,2,36,53,24,106,130,121,35,18,58,108,338,0.537,0.541,0,0.537,0.679,0.555,99,1,88.3,34.8,0.8,13.8,10.9,17.1,53.5,51.2,48.8,100,0,51.5,48.5,2.3,4.2,55.3,0,0,33.3,0.6,0.8,70,0.4,1.6,1.9,1.8,0.8,0.5,0.3,1.6,0,0,2.2
Shawn Long,24,PHI,NBA,2016-17,12,0,141,36,58,33,51,3,7,16,29,18,31,49,9,6,6,8,34,91,0.621,0.647,0.429,0.647,0.552,0.643,83.9,16.1,71,4.3,15.2,4.3,13.8,15.2,66.7,55.1,44.9,100,0,60.7,39.3,3.5,5.8,60.2,0.4,0.9,46.7,1.2,2.2,54.3,2,2.5,4.5,0.8,0.8,0.5,0.6,2.8,1,0,1.8
Kevon Looney,20,GSW,NBA,2016-17,52,4,443,55,105,53,96,2,9,21,34,42,79,121,29,14,17,16,64,133,0.524,0.552,0.222,0.533,0.618,0.554,91.6,8.4,80,0,4.4,8.1,15.6,16.3,80,83.3,16.7,100,0,83.9,16.1,1.1,2,52.3,0,0.2,22.2,0.4,0.6,61.8,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,0,0,-0.3
Brook Lopez,28,BRK,NBA,2016-17,68,68,2012,503,1060,380,711,123,349,276,340,107,254,361,162,35,111,169,181,1405,0.475,0.534,0.352,0.533,0.812,0.581,67,33,54.4,7.1,26.4,4.4,19.2,10.8,47.3,50.7,49.3,98.5,1.5,62.4,37.6,7.4,15.6,47.4,1.8,5.1,35,3.9,4.9,80.8,1.6,3.8,5.3,2.4,2.5,0.5,1.7,2.6,2,0,-2
Robin Lopez,28,CHI,NBA,2016-17,73,73,2028,343,693,343,691,0,2,64,89,226,240,466,75,14,109,76,136,750,0.495,0.496,0,0.495,0.719,0.512,99.7,0.3,91.4,29.8,0,3,8.6,8.7,61.6,67.9,32.1,0,0,67.9,32.1,4.7,9.6,49,0,0,0,0.9,1.2,71.4,3,3.4,6.4,1,1.1,0.2,1.5,1.9,8,0,0.4
Kevin Love,28,CLE,NBA,2016-17,52,52,1623,321,749,192,407,129,342,231,264,127,440,567,97,47,18,106,94,1002,0.429,0.472,0.377,0.515,0.875,0.579,54.9,45.1,39,11.3,38.7,5.4,22.3,10.7,27.8,54.6,45.4,98.6,1.4,72.1,27.9,6.1,14.4,42.6,2.4,6.5,37.6,4.2,4.9,86.8,2.5,8.6,11.1,2,2.1,0.9,0.4,2,40,0,5.8
Kyle Lowry,30,TOR,NBA,2016-17,56,56,2111,403,870,218,426,185,444,284,344,47,219,266,386,81,18,158,163,1275,0.463,0.512,0.417,0.57,0.826,0.624,49.1,50.9,34.6,6.5,43.3,15.1,22.2,14.6,28.1,13.9,86.1,52.6,47.4,31.5,68.5,7.2,15.4,46.4,3.3,7.8,41.5,5,6.1,82.2,0.8,4,4.8,7,2.9,1.5,0.3,2.9,11,1,5.9
John Lucas III,34,MIN,NBA,2016-17,5,0,11,1,4,1,3,0,1,0,0,0,0,0,1,2,0,0,0,2,0.25,0.333,0,0.25,,0.25,75,25,100,0,0,0,0,0,100,0,100,0,0,0,100,0.2,0.8,25,0,0.2,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,2.4
Timothe Luwawu-Cabarrot,21,PHI,NBA,2016-17,62,12,945,103,268,68,154,35,114,75,91,23,102,125,61,20,10,62,132,316,0.384,0.442,0.307,0.45,0.824,0.513,54.9,45.1,42.8,0,33.2,19.4,24.1,16.5,42.8,64.4,35.6,97.8,2.2,75.8,24.2,2,5.1,38.9,0.7,2.3,29.4,1.5,1.7,85.2,0.4,1.8,2.1,1,1,0.5,0.1,2.2,0,0,-0.8
Trey Lyles,21,UTA,NBA,2016-17,68,4,1141,158,433,94,231,64,202,54,75,46,183,229,70,26,20,63,96,434,0.365,0.407,0.317,0.439,0.72,0.466,53.3,46.7,42.8,9.6,44.4,7.1,12.8,15.5,33.3,40.4,59.6,95.4,4.6,62.9,37.1,2.3,6.2,36.4,0.9,2.9,31.9,0.8,1.1,72.7,0.7,2.6,3.3,1,0.9,0.4,0.3,1.4,1,0,0.4
Shelvin Mack,26,UTA,NBA,2016-17,48,9,1015,141,318,109,215,32,103,38,56,16,90,106,132,36,1,81,82,352,0.443,0.507,0.311,0.494,0.679,0.514,68.8,31.2,62.3,14.5,25.4,8.2,12.2,15.2,47.9,32,68,61.8,38.2,38.4,61.6,3,6.8,44.3,0.6,2.1,30.4,0.9,1.3,70,0.3,1.9,2.3,2.8,1.6,0.8,0,1.8,0,0,0.6
Ian Mahinmi,30,WAS,NBA,2016-17,25,0,435,49,87,49,87,0,0,39,66,40,77,117,12,26,18,27,68,137,0.563,0.563,,0.563,0.591,0.59,100,0,74.3,0,0,5.4,25.7,9,74.3,71,29,0,0,71,29,2.1,3.5,58.5,0,0,0,1.4,2.5,57.3,1.5,3.1,4.6,0.5,1.1,1,0.7,2.9,0,0,1.1
Thon Maker,19,MIL,NBA,2016-17,50,27,422,60,138,37,77,23,61,24,37,27,55,82,18,8,21,11,68,167,0.435,0.481,0.377,0.518,0.649,0.541,57.6,42.4,47.4,7.4,39.1,13.5,13.5,19.5,40,64.7,35.3,100,0,77.2,22.8,1.4,3.1,46.5,0.5,1.3,38.9,0.5,0.8,63,0.6,1.3,1.9,0.3,0.3,0.2,0.4,1.5,0,0,-0.5
Boban Marjanovic,28,DET,NBA,2016-17,31,0,202,46,88,46,88,0,0,36,45,31,58,89,7,3,9,7,16,128,0.523,0.523,,0.523,0.8,0.594,100,0,73.4,8.3,0,5.3,26.6,11.8,65.1,71,29,0,0,71,29,1.9,3.4,55.4,0,0,0,1.4,1.7,80.4,1.1,2.2,3.4,0.3,0.2,0.1,0.3,0.6,4,0,0.9
Jarell Martin,22,MEM,NBA,2016-17,40,3,538,54,143,45,118,9,25,38,48,37,117,154,7,15,8,27,90,155,0.378,0.381,0.36,0.409,0.792,0.472,83,17,59.6,16.1,16.8,13.7,23.6,9.9,43.5,64.6,35.4,100,0,70.2,29.8,1.4,3.6,38.8,0.2,0.6,36,0.9,1.2,79.2,0.9,2.9,3.8,0.2,0.7,0.4,0.2,2.2,1,0,-1.5
Wesley Matthews,30,DAL,NBA,2016-17,68,68,2354,315,803,150,351,165,452,146,179,17,229,246,184,77,15,96,153,941,0.392,0.427,0.365,0.495,0.816,0.534,43.4,56.6,32.3,12.4,52.9,10.4,14.8,18.4,19.9,29.6,70.4,83.9,16.1,58,42,4.6,11.6,39.3,2.4,6.6,36.3,2,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,0,0,-2.7
Luc Mbah a Moute,30,LAC,NBA,2016-17,74,70,1605,167,336,130,238,37,98,54,76,45,120,165,34,75,32,43,115,425,0.497,0.546,0.378,0.552,0.711,0.575,70.7,29.3,61.1,15.8,26.4,16.3,12.5,18.2,45.3,79.9,20.1,97.5,2.5,83.8,16.2,2.3,4.6,49.4,0.5,1.4,37.7,0.7,1.1,69.5,0.6,1.6,2.1,0.5,0.6,1,0.4,1.5,0,0,2.8
