Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Marco Belinelli,CHA,31,74,34,40,24,10.5,3.6,8.3,42.9,1.4,3.8,2.2,36,2,2.3,89.3,0.2,2.2,2.4,2,0.9,0.6,0.1,1.2,1,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Georges-Hunt,ORL,23,3,1,2,8.7,2.7,0.7,1.7,40,0.3,0.7,0.2,50,1,1.3,75,0.3,2.3,2.7,0,0.3,0.3,0,1,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,DET,27,78,36,42,32.6,14,5.3,12.7,41.8,1.5,4.6,3.8,33.2,1.9,2.4,78.4,1,3.7,4.6,2.1,1.1,0.7,0.3,2.1,5,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Smart,BOS,23,77,49,28,30.4,10.6,3.4,9.6,36,1.2,4.2,2.2,28.1,2.5,3.2,80.7,1,2.9,3.9,4.5,2,1.6,0.4,2.4,2,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Thornton,WAS,29,33,15,18,17.4,6.6,2.5,6.4,40,0.8,2.4,1.7,35,0.7,0.8,85.2,0.7,1.6,2.3,1.2,0.8,0.6,0.1,1.5,0,0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Hezonja,ORL,22,63,19,44,14.4,4.8,1.8,5,35.7,0.6,2.1,1.1,28.9,0.6,0.8,81.3,0.3,1.8,2.1,1,0.9,0.4,0.2,1.1,0,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Markieff Morris,WAS,27,75,44,31,31.3,13.9,5.3,11.6,45.5,0.9,2.6,4.4,35.9,2.4,2.9,83.7,1.4,5.1,6.5,1.7,1.7,1.1,0.6,3.4,9,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Marquese Chriss,PHX,19,81,24,57,21,9,3.4,7.6,45,0.9,2.7,2.6,32.1,1.3,2.1,63,1.2,3,4.2,0.7,1.3,0.8,0.8,3.2,3,0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Marreese Speights,LAC,29,80,49,31,15.6,8.8,3,6.7,44.9,1.3,3.4,1.7,37.5,1.5,1.7,87.6,1.1,3.5,4.5,0.8,0.8,0.3,0.5,2.8,4,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Plumlee,NYK,24,20,5,15,7.2,1.3,0.5,1,47.4,0,0,0.8,0,0.4,0.9,47.1,1,1.1,2,0.5,0.5,0.2,0.2,0.9,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
