Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Randy Foye,BKN,33,67,17,50,18.6,5.3,1.7,4.7,37.4,1,2.9,0.7,34.4,0.8,0.9,85.2,0.1,2.1,2.3,2,1.2,0.5,0.1,1.4,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Vaughn,MIL,20,39,17,22,10.7,3.3,1.3,3.6,36.2,0.6,2,0.8,31.2,0.1,0.1,50,0.1,1.1,1.2,0.5,0.2,0.4,0.2,0.7,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Neto,UTA,24,40,24,16,8.6,2.5,1,2.3,45.1,0.3,0.8,0.8,32.3,0.2,0.2,88.9,0.1,0.7,0.8,0.9,0.4,0.5,0.1,1.2,0,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Felton,LAC,32,78,48,30,21.3,6.8,2.8,6.5,43,0.6,1.8,2.2,32.2,0.6,0.8,78.1,0.4,2.3,2.7,2.4,1.1,0.8,0.3,1.6,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,DET,26,29,13,16,14.4,3.9,1.5,3.9,38.9,0.7,2.1,0.8,32.3,0.2,0.2,71.4,0.4,1.6,2,0.8,0.3,0.5,0.1,0.7,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,DET,26,52,23,29,27.4,14.5,5.5,13,41.9,1.3,3.5,4.2,35.9,2.3,2.6,86.8,0.4,1.8,2.2,5.2,2.2,0.7,0.1,2.5,4,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Williams,NOP,30,6,1,5,13.2,4.5,1.3,3.8,34.8,0.8,1.8,0.5,45.5,1,1.2,85.7,0.3,0.7,1,0.7,0,0.5,0,0.3,0,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Jefferson,CLE,36,77,50,27,20.4,5.7,2,4.4,45,0.8,2.4,1.2,33.5,1,1.3,73.8,0.4,2.2,2.5,1,0.6,0.3,0.1,1.9,1,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Richaun Holmes,PHI,23,55,16,39,20.5,9.6,3.9,7,56.1,0.5,1.3,3.6,37.5,1.2,1.7,68.8,1.6,3.8,5.4,1,1,0.7,1,2.4,5,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Rubio,MIN,26,74,28,46,32.9,11.1,3.5,8.6,40.3,0.8,2.6,2.7,30.6,3.4,3.8,88.9,0.9,3.2,4.1,9.1,2.6,1.7,0.1,2.7,24,1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Hunter,CHI,23,3,2,1,3.1,0,0,0.3,0,0,0.3,#N/A,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Covington,PHI,26,67,27,40,31.6,12.9,4.4,10.9,39.9,2,6.1,2.3,33.3,2.1,2.6,82.2,1.4,5.1,6.5,1.5,2,1.9,1,3,12,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Lopez,CHI,29,79,38,41,28.1,10.3,4.7,9.6,49,0,0,4.7,0,0.9,1.2,71.4,3,3.4,6.4,1,1.1,0.2,1.5,1.9,8,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Hood,UTA,24,58,39,19,27.1,12.7,4.6,11.2,41.1,1.9,5.2,2.7,37.5,1.6,2,78.3,0.3,3.2,3.4,1.6,1.1,0.6,0.2,2.2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney McGruder,MIA,25,76,38,38,25.2,6.4,2.4,5.9,41.4,0.9,2.8,1.5,33,0.6,0.9,63.8,1.2,2.1,3.3,1.6,0.7,0.6,0.2,1.8,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Stuckey,IND,30,39,17,22,17.9,7.2,2.3,6.3,37.3,0.5,1.5,1.8,31.7,2.1,2.7,74.8,0.2,2,2.2,2.2,1.4,0.4,0,1.1,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Baker,NYK,24,51,13,38,16.2,4.1,1.5,4.1,37.4,0.4,1.6,1.1,26.5,0.5,0.8,65.9,0.2,1.7,1.9,2,1.1,0.7,0.2,1.4,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Rondae Hollis-Jefferson,BKN,22,76,19,57,22.3,8.6,3,6.8,44,0.2,0.9,#N/A,21.5,2.4,3.2,74.1,1.2,4.5,5.7,2,1.5,1,0.5,2.3,7,0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Price,PHX,33,13,4,9,8.9,0.7,0.2,1.3,11.8,0.2,1,0.1,15.4,0.2,0.3,75,0.2,0.6,0.8,1.2,0.2,0.8,0.1,1,0,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Hibbert,DEN,30,48,24,24,14.2,4.6,1.7,3.1,54.4,0,0,1.7,0,1.3,1.6,81.3,1.1,2,3.2,0.4,0.7,0.2,1,2.1,1,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gay,SAC,30,30,11,19,33.8,18.7,6.7,14.7,45.5,1.4,3.8,5.3,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,4,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,UTA,24,79,49,30,33.9,14,5.1,7.6,66.4,0,0,5.1,0,3.9,5.9,65.5,3.9,8.9,12.8,1.2,1.8,0.6,2.7,3,57,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,OKC,28,80,46,34,34.8,31.9,10.3,24.1,42.6,2.5,7.2,7.7,34.4,8.9,10.5,84.5,1.7,9,10.7,10.4,5.4,1.7,0.4,2.4,62,42,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Anderson,HOU,28,70,49,21,29.5,13.5,4.5,10.7,41.8,2.8,6.9,1.7,40.5,1.8,2.1,85.8,1.6,3.1,4.7,0.9,0.8,0.4,0.2,2,2,0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Kelly,ATL,26,15,6,9,5.9,1.1,0.3,1.3,25,0.1,0.5,0.3,25,0.3,0.4,83.3,0,1,1,0.5,0.2,0.3,0.3,0.3,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Salah Mejri,DAL,30,71,28,43,12.5,2.9,1.2,1.9,63.9,0,0,1.2,0,0.5,0.8,59.3,1.3,2.9,4.3,0.2,0.6,0.5,0.9,2.1,1,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Dekker,HOU,22,77,52,25,18.4,6.5,2.6,5.6,47.3,0.8,2.4,1.9,32.1,0.5,0.9,55.9,1.2,2.5,3.7,1,0.5,0.5,0.3,1.1,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Vujacic,NYK,33,41,13,28,9.5,2.9,1,3.1,31.5,0.5,1.7,0.5,30.4,0.4,0.5,72.7,0.2,1.1,1.4,1.1,0.3,0.3,0,0.9,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Kilpatrick,BKN,27,70,14,56,25.1,13.1,4.4,10.5,41.5,1.5,4.4,2.9,34.1,2.9,3.5,84.3,0.3,3.7,4,2.2,1.9,0.6,0.1,1.7,4,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Semaj Christon,OKC,24,62,35,27,14.9,2.8,1.2,3.5,34.6,0.2,1,1.0,18.3,0.3,0.5,54.8,0.3,1.1,1.4,2,0.7,0.4,0.1,1.2,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,TOR,27,79,37,42,30.7,14.8,6,12.4,48,1.6,4,4.4,39.1,1.4,1.6,85.6,1.6,5.2,6.8,0.9,1.3,0.5,1.6,2.7,11,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Rodriguez,PHI,30,68,24,44,22.3,7.8,3.1,7.9,39.2,1.4,3.7,1.7,36.5,0.3,0.4,66.7,0.3,2,2.3,5.1,1.9,0.7,0.1,1.4,1,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Curry,DAL,26,70,30,40,29,12.8,4.8,10,48.1,2,4.6,2.9,42.5,1.2,1.4,85,0.4,2.2,2.6,2.7,1.3,1.1,0.1,1.8,1,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Shabazz Muhammad,MIN,24,76,29,47,19.5,9.8,3.6,7.6,48.1,0.6,1.8,3.1,34.8,1.9,2.4,77.9,1.1,1.8,2.9,0.4,0.7,0.3,0.1,1.1,1,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Shabazz Napier,POR,25,51,25,26,8.8,3.2,1.1,2.8,37.2,0.5,1.5,0.7,34.2,0.5,0.7,74.3,0.1,0.9,1,1.2,0.6,0.6,0,0.6,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Livingston,GSW,31,74,62,12,17.7,5.2,2.3,4.2,55.3,0,0,2.3,33.3,0.6,0.8,70,0.4,1.6,1.9,1.8,0.8,0.5,0.3,1.6,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Long,PHI,24,16,5,11,13.2,8.6,3.5,5.8,60.2,0.4,0.9,3.0,46.7,1.2,2.2,54.3,2,2.5,4.5,0.8,0.8,0.5,0.6,2.8,1,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon McClellan,WAS,24,29,17,12,8.7,2.5,0.8,2.2,37.5,0.2,0.9,0.8,23.1,0.6,0.7,85.7,0.1,0.9,1,0.5,0.1,0.3,0.1,0.6,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Shelvin Mack,UTA,26,53,32,21,21.6,7.6,3,6.8,44.3,0.6,2.1,2.4,30.4,0.9,1.3,70,0.3,1.9,2.3,2.8,1.6,0.8,0,1.8,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Skal Labissiere,SAC,21,31,8,23,17.8,8.7,3.6,6.6,54.4,0.1,0.2,3.5,42.9,1.5,2.1,70.3,1.6,3.4,4.9,0.8,1.2,0.5,0.4,1.8,2,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Hill,NOP,26,78,33,45,29.7,6.9,2.3,5.9,38.1,1.2,3.4,1.1,35,1.3,1.5,81.7,0.7,3.2,3.8,1.8,1,0.9,0.4,2.3,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,BKN,24,57,13,44,22.6,7.5,2.3,5.2,45.1,0.6,1.7,1.6,38.9,2.1,2.7,78.7,0.5,2.3,2.8,3.2,1.1,0.8,0.4,2,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Hawes,MIL,28,53,27,26,14.7,6.1,2.4,5.1,47.8,0.4,1.5,2.0,29.5,0.8,0.9,83.7,0.7,2.8,3.5,1.5,0.9,0.3,0.6,1.4,3,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Johnson,DET,20,75,35,40,17.7,4.4,1.7,4.7,35.9,0.6,2,1.1,29.1,0.5,0.7,67.9,0.5,2,2.5,1.4,0.9,0.7,0.3,1.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,GSW,29,77,64,13,33.5,25.3,8.6,18.3,46.8,4.1,10,4.4,40.8,4.1,4.6,90.1,0.8,3.7,4.5,6.6,3,1.8,0.2,2.4,9,0,12.7,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Zimmerman,ORL,20,18,7,11,5.5,1.2,0.5,1.6,31,0,0,0.5,0,0.2,0.3,60,0.6,1.3,1.9,0.2,0.1,0.1,0.2,0.8,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Novak,MIL,33,8,6,2,2.7,0.6,0.3,0.9,28.6,0.1,0.8,0.1,16.7,0,0,0,0,0.4,0.4,0,0,0,0,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,OKC,23,78,46,32,30.1,11.4,4.7,8.2,56.9,0,0,4.7,0,2,3.3,61.1,3.5,4.2,7.7,1.1,1.8,1.1,1,2.4,16,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. McConnell,PHI,25,79,27,52,26.3,6.8,2.9,6.3,46,0.1,0.7,#N/A,20.4,0.9,1.1,82.6,0.5,2.6,3.1,6.6,1.9,1.6,0.1,1.7,5,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Gibson,OKC,31,77,41,36,25.5,10.8,4.7,9.1,51.7,0,0.2,4.6,23.1,1.4,2,71.1,2,4.2,6.2,0.9,1.4,0.5,0.8,2.1,11,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Tarik Black,LAL,25,65,23,42,16.3,5.7,2.2,4.3,51.4,0,0,2.2,50,1.2,1.6,74.8,2.2,2.9,5.1,0.6,0.9,0.4,0.6,2.6,2,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Taurean Prince,ATL,23,57,27,30,16.4,5.5,1.9,4.7,39.3,0.6,1.7,1.4,33,1.3,1.6,80,0.4,2.3,2.7,0.9,1.1,0.7,0.5,1.6,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Jones,MIL,25,54,20,34,23.5,10.8,4.3,9.1,47,0.4,1.4,3.9,25.3,1.9,3.1,60.6,1.2,4.5,5.7,1.1,0.9,0.7,1,1.2,6,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Ross,ORL,26,76,38,38,25.2,11.2,4.3,9.7,43.8,1.9,5.1,2.4,36.6,0.8,1,82.9,0.2,2.4,2.7,1.1,0.9,1.1,0.4,1.8,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Rozier,BOS,23,72,45,27,17.3,5.7,2.1,5.7,36.9,0.8,2.5,1.3,32.2,0.7,0.9,77.3,0.5,2.5,3.1,1.8,0.7,0.6,0.2,0.9,1,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Thabo Sefolosha,ATL,32,60,31,29,25.9,7.3,2.9,6.5,44.4,0.7,2,2.1,35,0.9,1.3,73.3,0.9,3.5,4.4,1.8,0.9,1.6,0.5,1.6,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Thaddeus Young,IND,28,72,38,34,30.1,10.9,4.8,9.2,52.4,0.6,1.6,4.3,38.1,0.6,1.2,52.4,1.7,4.3,6,1.6,1.3,1.5,0.4,1.8,7,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Robinson,LAL,26,46,14,32,11.5,4.9,2.2,4,53.2,0,0,2.2,0,0.6,1.3,46.8,1.8,2.9,4.7,0.6,0.9,0.5,0.2,1.6,1,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Thon Maker,MIL,20,55,30,25,9.5,3.9,1.4,3.1,46.5,0.5,1.3,1.0,38.9,0.5,0.8,63,0.6,1.3,1.9,0.3,0.3,0.2,0.4,1.5,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Splitter,PHI,32,6,1,5,7.7,4.2,1.5,2.8,52.9,0.2,0.3,1.5,50,1,1.2,85.7,0.8,1.3,2.2,0.7,0.5,0,0.2,0.8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Frazier,NOP,26,63,25,38,23.5,7.2,2.6,6.2,41.4,0.6,1.9,1.9,31.1,1.5,1.9,76,0.5,2.2,2.7,5.1,1.6,0.9,0.1,2,7,1,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr.,ATL,25,78,41,37,27.3,14.5,5.3,11.6,45.5,1.9,5.3,3.4,35.8,2.1,2.7,76.4,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Quarterman,POR,22,14,5,9,3.1,1.4,0.6,0.9,61.5,0.2,0.4,0.5,50,0,0,0,0.1,0.3,0.4,0.6,0.3,0.1,0.1,0.3,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Timofey Mozgov,LAL,30,54,16,38,20.4,7.4,3.1,6.1,51.5,0,0,3.1,0,1.2,1.4,80.8,1.9,3,4.9,0.8,1.3,0.3,0.6,2.5,1,0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Timothe Luwawu-Cabarrot,PHI,21,67,23,44,16.9,6.1,2,5.1,38.9,0.7,2.3,#N/A,29.4,1.5,1.7,85.2,0.4,1.8,2.1,1,1,0.5,0.1,2.2,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Warren,PHX,23,65,20,45,30.9,14.4,6.1,12.2,49.9,0.4,1.5,5.7,26,1.8,2.3,77.6,1.9,3.2,5.1,1.1,0.9,1.1,0.6,2.7,5,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Harris,DET,24,80,37,43,31.3,16.2,6.3,12.9,48.3,1.3,3.8,4.9,34.5,2.3,2.7,85.4,0.8,4.3,5.1,1.7,1.2,0.7,0.5,1.7,3,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Satoransky,WAS,25,55,32,23,12.2,2.6,1,2.4,41.8,0.1,0.6,0.9,25,0.4,0.6,67.7,0.4,1,1.4,1.5,0.6,0.4,0.1,1,1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Toney Douglas,MEM,31,24,15,9,16.4,4.9,1.8,4.9,36.8,0.3,1.8,1.5,16.7,1,1.2,82.8,0.5,2,2.5,2.3,0.9,0.8,0.2,2.1,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Allen,MEM,35,70,36,34,27.3,9.1,3.9,8.4,46,0.2,0.8,3.6,27.8,1.1,1.9,61.5,2.3,3.2,5.6,1.4,1.4,1.6,0.4,2.5,5,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Parker,SAS,34,61,46,15,25.3,10,4.2,9.1,46,0.4,1.1,3.8,33.8,1.3,1.8,71.2,0.1,1.7,1.8,4.6,1.4,0.5,0,1.4,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Snell,MIL,25,79,41,38,29.2,8.4,3,6.7,45.1,1.8,4.4,1.3,40,0.6,0.7,81,0.3,2.9,3.1,1.2,0.7,0.7,0.2,1.6,1,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Treveon Graham,CHA,23,25,10,15,5.9,1.4,0.4,1,40,0.3,0.4,0.4,63.6,0.3,0.5,66.7,0.2,0.5,0.7,0.2,0.1,0.1,0,0.7,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,HOU,31,78,52,26,34.6,11.7,4.1,9.9,41,2.4,6.9,1.7,35,1.2,1.6,74.2,0.7,5.1,5.8,2.1,0.9,1.8,0.2,1.7,3,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Booker,BKN,29,71,18,53,24.7,10,4.3,8.3,51.6,0.4,1.1,3.9,32.1,1,1.5,67.3,2,6,8,1.9,1.8,1.1,0.4,2.1,16,0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Burke,WAS,24,55,34,21,12.1,4.7,1.9,4.4,43.8,0.5,1.1,1.5,41.3,0.4,0.5,74.1,0.1,0.7,0.8,1.7,0.8,0.2,0.1,1,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Lyles,UTA,21,70,42,28,16.4,6.3,2.3,6.2,36.4,0.9,2.9,1.3,31.9,0.8,1.1,72.7,0.7,2.6,3.3,1,0.9,0.4,0.3,1.4,1,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Thompson,CLE,26,77,50,27,30.1,8.1,3.3,5.6,59.6,0,0,3.4,0,1.4,2.7,50.2,3.7,5.6,9.2,1,0.8,0.5,1.1,2.3,19,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Daniels,MEM,25,66,33,33,17.6,8.3,2.8,7.4,37.9,2.1,5.3,0.7,39,0.7,0.8,79.6,0.3,1.2,1.5,0.7,0.6,0.3,0.1,1.3,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Williams,HOU,22,28,18,10,18.9,6,2.4,5.5,43.2,0.6,2.1,1.8,29.3,0.6,1,60.7,0.5,1.8,2.3,0.9,1,1,0.3,2,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Lawson,SAC,29,68,24,44,25,9.7,3.4,7.5,45.1,0.5,1.7,2.9,28.2,2.4,3,79.2,0.6,1.9,2.5,4.7,1.9,1.1,0.1,1.7,2,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ennis,LAL,22,51,27,24,10.2,4.1,1.6,3.7,43.5,0.5,1.2,1.2,41,0.4,0.4,85.7,0.2,0.7,0.9,1.5,0.7,0.5,0,1,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,MIA,24,71,33,38,29.9,13.7,4.9,11.4,43.1,1.3,3.4,3.6,36.9,2.6,3.5,76.4,0.7,3.3,4,3.2,1.2,1.2,0.6,2.4,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ulis,PHX,21,60,15,45,18.1,7,2.9,6.9,42.2,0.3,1.2,2.7,25.4,0.9,1.1,78.5,0.3,1.2,1.5,3.7,1.3,0.8,0.1,1.2,6,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Zeller,BOS,27,49,30,19,10.3,3.4,1.5,3.1,49.3,0,0,1.5,0,0.4,0.7,54.3,0.9,1.6,2.5,0.9,0.4,0.1,0.4,1.2,1,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Tyreke Evans,SAC,27,40,17,23,19.7,10.3,3.8,9.3,40.5,1.1,3,2.7,35.6,1.7,2.3,75,0.3,3.1,3.4,3.1,1.5,0.9,0.2,1.5,0,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Chandler,PHX,34,47,15,32,27.6,8.4,3.3,4.9,67.1,0,0,3.3,0,1.9,2.6,73.4,3.3,8.2,11.5,0.6,1.4,0.7,0.5,2.7,12,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Tyus Jones,MIN,20,58,23,35,12.6,3.3,1.2,2.9,40.2,0.4,1.2,0.8,33.8,0.5,0.7,77.5,0.2,0.9,1.1,2.5,0.6,0.8,0.1,0.8,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Udonis Haslem,MIA,36,15,5,10,8.6,2.1,0.7,1.5,50,0,0.1,0.7,0,0.6,1,60,0.5,1.8,2.3,0.4,0.5,0.4,0.1,1.4,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Oladipo,OKC,24,65,38,27,33.3,16,6.2,14,44.1,1.9,5.3,4.3,36.2,1.7,2.3,75.2,0.6,3.7,4.3,2.6,1.7,1.2,0.3,2.4,3,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Carter,MEM,40,72,36,36,24.7,8.1,2.7,6.8,39.5,1.5,4.1,1.1,38,1.2,1.6,76.1,0.5,2.6,3.1,1.8,0.7,0.8,0.5,2.2,0,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Wade Baldwin IV,MEM,21,32,18,14,12.1,3,1,3.3,30.8,0.1,0.7,1.0,14.3,0.9,1.1,82.4,0.3,1,1.3,1.9,1.1,0.5,0.2,1.2,0,0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Ellington,MIA,29,60,33,27,24.1,10.5,3.7,9,41.7,2.4,6.3,1.3,37.6,0.6,0.7,86,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.2,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Selden,MEM,22,13,6,7,15.8,4.7,1.6,3.9,41.2,0.4,1.9,1.3,20,1.1,1.7,63.6,0.1,1.1,1.2,0.9,0.8,0.5,0.1,1.2,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Johnson,LAC,29,66,38,28,11.9,2.8,1.1,3,36.4,0.4,1.7,0.6,25.2,0.2,0.3,64.7,0.4,2.3,2.7,0.3,0.3,0.4,0.5,1.2,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,DAL,30,73,29,44,34.2,13.5,4.6,11.6,39.3,2.4,6.6,2.2,36.3,2,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Will Barton,DEN,26,60,31,29,28.4,13.7,4.9,11.1,44.3,1.5,3.9,3.5,37,2.4,3.2,75.3,1,3.4,4.3,3.4,1.6,0.8,0.5,1.8,2,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Cauley-Stein,SAC,23,73,28,45,18.7,7.9,3.3,6.2,53.2,0,0,#N/A,0,1.4,2,66.9,1.1,3.2,4.4,1,0.9,0.7,0.6,2,7,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Reed,MIA,26,69,37,32,14.6,5.1,2.2,4,55.6,0,0.1,2.3,25,0.7,1.2,54.1,1.8,2.9,4.7,0.4,0.4,0.3,0.7,1.9,4,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Hernangomez,NYK,22,71,26,45,18.4,8.2,3.5,6.5,52.9,0.1,0.2,3.4,26.7,1.2,1.7,72.3,2.4,4.6,6.9,1.3,1.4,0.6,0.5,2.1,11,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Chandler,DEN,29,70,34,36,31.2,15.8,6.1,13.3,46.1,1.6,4.6,4.5,33.6,2,2.7,73.2,1.5,5,6.5,2,1.6,0.7,0.4,2.5,9,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Yogi Ferrell,DAL,23,44,17,27,25.8,10.1,3.5,8.5,41.3,1.5,3.8,2.0,39.3,1.6,1.9,83.5,0.5,1.9,2.4,3.7,1.5,0.9,0.2,2,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Zach LaVine,MIN,22,47,16,31,37.2,18.9,6.9,15.1,45.9,2.6,6.6,4.4,38.7,2.5,3,83.6,0.4,3,3.4,3,1.8,0.9,0.2,2.2,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Randolph,MEM,35,72,38,34,24.5,14.1,5.9,13.2,44.8,0.3,1.3,5.6,22.6,1.9,2.7,72.9,2.5,5.7,8.2,1.7,1.3,0.5,0.1,1.9,20,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Zaza Pachulia,GSW,33,68,57,11,18.1,6.1,2.3,4.4,53.2,0,0,2.3,0,1.4,1.8,77,2,3.9,5.9,1.9,1.2,0.9,0.5,2.4,4,0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
