Season,Player ,Position,Team
2016,Russell Westbrook,PG,First
2016,Stephen Curry,SG,First
2016,LeBron James,SF,First
2016,Kawhi Leonard,PF,First
2016,DeAndre Jordan,C,First
2016,Damian Lillard,PG,Second
2016,Chris Paul,SG,Second
2016,Kevin Durant,SF,Second
2016,Draymon Green,PF,Second
2016,DeMarcus Cousins,C,Second
2016,Kyle Lowry,PG,Third
2016,Klay Thompson,SG,Third
2016,Paul George,SF,Third
2016,LaMarcus Aldridge,PF,Third
2016,Andre Drummond,C,Third
